height_m,temperature_2015_celsius,temperature_2016_celsius,borehole,yearDrilled,dateDrilled,depth_m,latitude_WGS84,longitude_WGS84,Elevation_m
81,-3.38,-3.38,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
91,-3.81,-3.81,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
101,-4.31,-4.31,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
111,-4.75,-4.75,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
121,-5.25,-5.25,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
131,-5.69,-5.69,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
141,-6.06,-6.06,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
151,-6.5,-6.5,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
161,-6.81,-6.88,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
181,-7.56,-7.56,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
201,-8.19,-8.19,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
221,-8.75,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
241,-9.25,-9.31,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
261,-9.81,-9.75,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
281,-10.25,-10.19,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
301,-10.63,-10.63,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
321,-10.75,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
341,-10.94,-11,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
361,-11.19,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
381,-11.31,-11.31,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
401,-11.44,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
421,-11.56,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
441,-11.63,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
461,-11.75,-11.75,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
481,-11.75,-11.75,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
501,-11.81,-11.75,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
521,-11.75,-11.75,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
541,-11.88,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
561,-11.63,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
581,-11.44,-11.38,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
601,-11.19,-11.19,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
621,-10.94,,GL14-West,2014,7/22/14,661,67.182086,-49.572379,978
5,,-0.19,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
15,,-0.38,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
25,,-0.63,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
35,,-1,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
45,,-1.38,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
55,,-1.75,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
65,,-2.25,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
75,,-2.63,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
85,,-3.13,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
95,,-3.56,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
105,,-3.94,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
115,,-4.38,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
125,,-4.81,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
135,,-5.13,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
145,,-5.56,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
165,,-6.38,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
185,,-7.06,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
205,,-7.63,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
225,,-8.44,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
245,,-9.06,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
265,,-9.56,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
285,,-10,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
305,,-10.44,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
325,,-10.69,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
345,,-11,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
365,,-11.25,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
385,,-11.38,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
405,,-11.56,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
425,,-11.63,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
445,,-11.69,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
465,,-11.69,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
485,,-11.69,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
505,,-11.69,15-C-A,2015,7/6/15,671,67.182104,-49.569504,979
