depth [m],Devon73,Isunnguata_M1-10,Jakobshavn95D_T4,Meighen67,Isunnguata_27km-12C,Isunnguata_33km_15N,TD5_91,SiteII,Isunnguata_27km-12B,StationCentrale,Isunnguata_33km_14SB,GRIP,Isunnguata_27km-11A,HansTausen_Hare,Jakobshavn95D_T5,Jakobshavn89A,Agassiz84,Renland88,NEEM,Isunnguata_27km-12A,Isunnguata_33km_14N,CampCentury,Jakobshavn89B,Jakobshavn95D_I2,Isunnguata_33km_14SA,FOXX2,TD4_91a,FOXX1,TD5_90,PrinceWales05,Agassiz77,Isunnguata_33km_15E,Isunnguata_46km-11A,Devon98,DYE-3,Store_R30_BH19c,FladeIsblink06,Jakobshavn95D_T3,TD1_88,CampVI_50,Jakobshavn95D_I1,Isua_10,Isunnguata_33km_15CA,GISP2,TD2_88,Isua_14,TD3_88,Isua_12,Agassiz79b,Isua_11,Isunnguata_33km_14W,Agassiz79a,TD4_91b,Isunnguata_27km-11B,Isua_13,GULL,Store_R29_BH18c,CampIII_78,Store_S30,Tuto_D-11,Isunnguata_27km-11C,Isunnguata_33km_15CB,Isunnguata_M2-10B,Devon72,Isunnguata_13km-10,NGRIP,HansTausen_Dome,Isunnguata_33km_15S,Penny96,Isunnguata_46km-11B
765,,,,,,,,,,,,-31.4592,,,-2.6770,-20.3899,,,-29.0791,,,-22.3044,-20.4105,-3.0987,,,,,,,,,-2.4266,,-19.6770,-16.9226,,,,,-3.2814,,,-31.1108,,,,,,,,,,,,,-8.6042,,,,,,,,,-31.7336,,,,
766,,,,,,,,,,,,-31.4603,,,-2.6018,-20.3986,,,-29.0794,,,-22.2963,-20.4176,-3.0399,,,,,,,,,-2.3919,,-19.6769,-16.8680,,,,,-3.1562,,,-31.1117,,,,,,,,,,,,,-8.4799,,,,,,,,,-31.7349,,,,
767,,,,,,,,,,,,-31.4617,,,-2.5272,-20.4073,,,-29.0797,,,-22.2881,-20.4247,-2.9814,,,,,,,,,-2.3574,,-19.6768,-16.8103,,,,,-3.0320,,,-31.1125,,,,,,,,,,,,,-8.3609,,,,,,,,,-31.7363,,,,
768,,,,,,,,,,,,-31.4633,,,-2.4533,-20.4160,,,-29.0801,,,-22.2800,-20.4317,-2.9231,,,,,,,,,-2.3233,,-19.6767,-16.7451,,,,,-2.9091,,,-31.1134,,,,,,,,,,,,,-8.2472,,,,,,,,,-31.7377,,,,
769,,,,,,,,,,,,-31.4648,,,-2.3801,-20.4247,,,-29.0804,,,-22.2719,-20.4388,-2.8650,,,,,,,,,-2.2896,,-19.6766,-16.6866,,,,,-2.7877,,,-31.1142,,,,,,,,,,,,,-8.1391,,,,,,,,,-31.7390,,,,
770,,,,,,,,,,,,-31.4661,,,-2.3075,-20.4334,,,-29.0807,,,-22.2637,-20.4459,-2.8073,,,,,,,,,-2.2562,,-19.6765,-16.6296,,,,,-2.6679,,,-31.1151,,,,,,,,,,,,,-8.0367,,,,,,,,,-31.7404,,,,
771,,,,,,,,,,,,-31.4671,,,-2.2355,-20.4421,,,-29.0810,,,-22.2556,-20.4529,-2.7498,,,,,,,,,-2.2231,,-19.6764,-16.5661,,,,,-2.5500,,,-31.1160,,,,,,,,,,,,,-7.9401,,,,,,,,,-31.7417,,,,
772,,,,,,,,,,,,-31.4681,,,-2.1642,-20.4509,,,-29.0814,,,-22.2475,-20.4600,-2.6927,,,,,,,,,-2.1904,,-19.6763,-16.5048,,,,,-2.4341,,,-31.1169,,,,,,,,,,,,,-7.8496,,,,,,,,,-31.7430,,,,
773,,,,,,,,,,,,-31.4690,,,-2.0936,-20.4596,,,-29.0817,,,-22.2393,-20.4670,-2.6358,,,,,,,,,-2.1581,,-19.6762,-16.4442,,,,,-2.3204,,,-31.1178,,,,,,,,,,,,,-7.7654,,,,,,,,,-31.7443,,,,
774,,,,,,,,,,,,-31.4699,,,-2.0236,-20.4684,,,-29.0820,,,-22.2312,-20.4741,-2.5794,,,,,,,,,-2.1262,,-19.6761,-16.3869,,,,,-2.2090,,,-31.1187,,,,,,,,,,,,,-7.6875,,,,,,,,,-31.7456,,,,
775,,,,,,,,,,,,-31.4708,,,-1.9542,-20.4771,,,-29.0823,,,-22.2230,-20.4811,-2.5233,,,,,,,,,-2.0947,,-19.6760,-16.3227,,,,,-2.1003,,,-31.1196,,,,,,,,,,,,,-7.6162,,,,,,,,,-31.7469,,,,
776,,,,,,,,,,,,-31.4718,,,-1.8854,-20.4859,,,-29.0826,,,-22.2149,-20.4882,-2.4676,,,,,,,,,-2.0635,,-19.6759,-16.2590,,,,,-1.9943,,,-31.1205,,,,,,,,,,,,,-7.5517,,,,,,,,,-31.7482,,,,
777,,,,,,,,,,,,-31.4728,,,-1.8173,-20.4946,,,-29.0829,,,-22.2067,-20.4952,-2.4123,,,,,,,,,-2.0328,,-19.6757,-16.1975,,,,,-1.8912,,,-31.1214,,,,,,,,,,,,,-7.4942,,,,,,,,,-31.7494,,,,
778,,,,,,,,,,,,-31.4739,,,-1.7498,-20.5034,,,-29.0831,,,-22.1985,-20.5022,-2.3574,,,,,,,,,-2.0025,,-19.6756,-16.1340,,,,,-1.7912,,,-31.1223,,,,,,,,,,,,,-7.4437,,,,,,,,,-31.7507,,,,
779,,,,,,,,,,,,-31.4749,,,-1.6830,-20.5121,,,-29.0834,,,-22.1903,-20.5093,-2.3031,,,,,,,,,-1.9726,,-19.6754,-16.0657,,,,,-1.6945,,,-31.1233,,,,,,,,,,,,,-7.4005,,,,,,,,,-31.7520,,,,
780,,,,,,,,,,,,-31.4759,,,-1.6168,-20.5209,,,-29.0837,,,-22.1822,-20.5163,-2.2491,,,,,,,,,-1.9432,,-19.6753,-16.0061,,,,,-1.6013,,,-31.1242,,,,,,,,,,,,,-7.3648,,,,,,,,,-31.7533,,,,
781,,,,,,,,,,,,-31.4769,,,-1.5512,-20.5297,,,-29.0840,,,-22.1740,-20.5233,-2.1957,,,,,,,,,-1.9142,,-19.6751,-15.9407,,,,,-1.5118,,,-31.1251,,,,,,,,,,,,,-7.3367,,,,,,,,,-31.7547,,,,
782,,,,,,,,,,,,-31.4778,,,-1.4862,-20.5385,,,-29.0843,,,-22.1658,-20.5303,-2.1428,,,,,,,,,-1.8857,,-19.6749,-15.8715,,,,,-1.4261,,,-31.1261,,,,,,,,,,,,,-7.3164,,,,,,,,,-31.7562,,,,
783,,,,,,,,,,,,-31.4787,,,-1.4218,-20.5473,,,-29.0845,,,-22.1576,-20.5373,-2.0904,,,,,,,,,-1.8576,,-19.6747,-15.8032,,,,,-1.3445,,,-31.1271,,,,,,,,,,,,,-7.3041,,,,,,,,,-31.7577,,,,
784,,,,,,,,,,,,-31.4796,,,-1.3581,-20.5561,,,-29.0848,,,-22.1493,-20.5443,-2.0386,,,,,,,,,-1.8300,,-19.6745,-15.7373,,,,,-1.2671,,,-31.1280,,,,,,,,,,,,,-7.3000,,,,,,,,,-31.7592,,,,
785,,,,,,,,,,,,-31.4807,,,-1.2949,-20.5649,,,-29.0851,,,-22.1411,-20.5513,-1.9873,,,,,,,,,-1.8028,,-19.6742,-15.6708,,,,,-1.1940,,,-31.1290,,,,,,,,,,,,,-7.4236,,,,,,,,,-31.7606,,,,
786,,,,,,,,,,,,-31.4819,,,-1.2324,-20.5737,,,-29.0854,,,-22.1329,-20.5583,-1.9366,,,,,,,,,-1.7762,,-19.6739,-15.6028,,,,,-1.1256,,,-31.1300,,,,,,,,,,,,,-7.7713,,,,,,,,,-31.7619,,,,
787,,,,,,,,,,,,-31.4834,,,-1.1705,-20.5825,,,-29.0856,,,-22.1246,-20.5653,-1.8866,,,,,,,,,-1.7500,,-19.6736,-15.5292,,,,,-1.0619,,,-31.1309,,,,,,,,,,,,,-8.3088,,,,,,,,,-31.7630,,,,
788,,,,,,,,,,,,-31.4848,,,-1.1092,-20.5914,,,-29.0859,,,-22.1164,-20.5723,-1.8372,,,,,,,,,-1.7244,,-19.6733,-15.4610,,,,,-1.0031,,,-31.1319,,,,,,,,,,,,,-9.0015,,,,,,,,,-31.7642,,,,
789,,,,,,,,,,,,-31.4862,,,-1.0485,-20.6002,,,-29.0862,,,-22.1081,-20.5793,-1.7884,,,,,,,,,-1.6992,,-19.6729,-15.3910,,,,,-0.9495,,,-31.1328,,,,,,,,,,,,,-9.8148,,,,,,,,,-31.7654,,,,
790,,,,,,,,,,,,-31.4874,,,-0.9860,-20.6091,,,-29.0864,,,-22.0999,-20.5862,-1.7403,,,,,,,,,-1.6746,,-19.6726,-15.3160,,,,,-0.9012,,,-31.1338,,,,,,,,,,,,,-10.7144,,,,,,,,,-31.7667,,,,
791,,,,,,,,,,,,-31.4884,,,-0.9209,-20.6179,,,-29.0866,,,-22.0917,-20.5932,-1.6929,,,,,,,,,-1.6505,,-19.6722,-15.2437,,,,,-0.8583,,,-31.1348,,,,,,,,,,,,,-11.6657,,,,,,,,,-31.7682,,,,
792,,,,,,,,,,,,-31.4892,,,-0.8553,-20.6268,,,-29.0868,,,-22.0836,-20.6001,-1.6461,,,,,,,,,-1.6270,,-19.6718,-15.1736,,,,,-0.8212,,,-31.1357,,,,,,,,,,,,,-12.6343,,,,,,,,,-31.7698,,,,
793,,,,,,,,,,,,-31.4900,,,-0.7913,-20.6356,,,-29.0871,,,-22.0755,-20.6071,-1.6002,,,,,,,,,-1.6039,,-19.6713,-15.1047,,,,,-0.7899,,,-31.1367,,,,,,,,,,,,,-13.5856,,,,,,,,,-31.7714,,,,
794,,,,,,,,,,,,-31.4908,,,-0.7312,-20.6445,,,-29.0873,,,-22.0674,-20.6140,-1.5549,,,,,,,,,-1.5815,,-19.6709,-15.0288,,,,,-0.7646,,,-31.1377,,,,,,,,,,,,,-14.4852,,,,,,,,,-31.7730,,,,
795,,,,,,,,,,,,-31.4917,,,-0.6772,-20.6534,,,-29.0875,,,-22.0593,-20.6210,-1.5105,,,,,,,,,-1.5596,,-19.6704,-14.9477,,,,,-0.7456,,,-31.1387,,,,,,,,,,,,,-15.2985,,,,,,,,,-31.7745,,,,
796,,,,,,,,,,,,-31.4927,,,-0.6314,-20.6623,,,-29.0877,,,-22.0512,-20.6279,-1.4668,,,,,,,,,-1.5382,,-19.6700,-14.8745,,,,,-0.7330,,,-31.1397,,,,,,,,,,,,,-15.9912,,,,,,,,,-31.7758,,,,
797,,,,,,,,,,,,-31.4938,,,-0.5960,-20.6712,,,-29.0880,,,-22.0432,-20.6348,-1.4240,,,,,,,,,-1.5175,,-19.6695,-14.7993,,,,,-0.7238,,,-31.1407,,,,,,,,,,,,,-16.5287,,,,,,,,,-31.7771,,,,
798,,,,,,,,,,,,-31.4950,,,-0.5731,-20.6801,,,-29.0882,,,-22.0351,-20.6418,-1.3819,,,,,,,,,-1.4973,,-19.6690,-14.7208,,,,,-0.7151,,,-31.1418,,,,,,,,,,,,,-16.8764,,,,,,,,,-31.7783,,,,
799,,,,,,,,,,,,-31.4962,,,-0.5650,-20.6890,,,-29.0885,,,-22.0271,-20.6487,-1.3407,,,,,,,,,-1.4778,,-19.6684,-14.6447,,,,,-0.7067,,,-31.1428,,,,,,,,,,,,,-17.0000,,,,,,,,,-31.7795,,,,
800,,,,,,,,,,,,-31.4974,,,-0.5650,-20.6979,,,-29.0887,,,-22.0191,-20.6556,-1.3004,,,,,,,,,-1.4588,,-19.6679,-14.5691,,,,,-0.6987,,,-31.1438,,,,,,,,,,,,,-16.9966,,,,,,,,,-31.7808,,,,
801,,,,,,,,,,,,-31.4986,,,-0.5652,-20.7069,,,-29.0889,,,-22.0110,-20.6625,-1.2610,,,,,,,,,-1.4404,,-19.6674,-14.4974,,,,,-0.6911,,,-31.1448,,,,,,,,,,,,,-16.9866,,,,,,,,,-31.7822,,,,
802,,,,,,,,,,,,-31.4999,,,-0.5658,-20.7158,,,-29.0891,,,-22.0030,-20.6694,-1.2225,,,,,,,,,,,-19.6668,-14.4127,,,,,-0.6838,,,-31.1458,,,,,,,,,,,,,-16.9701,,,,,,,,,-31.7836,,,,
803,,,,,,,,,,,,-31.5011,,,-0.5669,-20.7248,,,-29.0893,,,-21.9949,-20.6763,-1.1849,,,,,,,,,,,-19.6663,-14.3333,,,,,-0.6768,,,-31.1468,,,,,,,,,,,,,-16.9472,,,,,,,,,-31.7851,,,,
804,,,,,,,,,,,,-31.5024,,,-0.5687,-20.7337,,,-29.0895,,,-21.9868,-20.6831,-1.1482,,,,,,,,,,,-19.6657,-14.2538,,,,,-0.6702,,,-31.1479,,,,,,,,,,,,,-16.9182,,,,,,,,,-31.7866,,,,
805,,,,,,,,,,,,-31.5035,,,-0.5715,-20.7427,,,-29.0897,,,-21.9787,-20.6900,-1.1125,,,,,,,,,,,-19.6651,-14.1726,,,,,-0.6639,,,-31.1489,,,,,,,,,,,,,-16.8833,,,,,,,,,-31.7881,,,,
806,,,,,,,,,,,,-31.5045,,,-0.5753,-20.7517,,,-29.0899,,,-21.9706,-20.6969,-1.0778,,,,,,,,,,,-19.6645,-14.0906,,,,,-0.6579,,,-31.1499,,,,,,,,,,,,,-16.8425,,,,,,,,,-31.7897,,,,
807,,,,,,,,,,,,-31.5054,,,-0.5804,-20.7606,,,-29.0901,,,-21.9624,-20.7037,-1.0441,,,,,,,,,,,-19.6639,-14.0122,,,,,-0.6522,,,-31.1510,,,,,,,,,,,,,-16.7961,,,,,,,,,-31.7913,,,,
808,,,,,,,,,,,,-31.5063,,,-0.5869,-20.7696,,,-29.0903,,,-21.9543,-20.7106,-1.0115,,,,,,,,,,,-19.6633,-13.9342,,,,,-0.6468,,,-31.1521,,,,,,,,,,,,,-16.7442,,,,,,,,,-31.7929,,,,
809,,,,,,,,,,,,-31.5072,,,-0.5950,-20.7786,,,-29.0905,,,-21.9461,-20.7174,-0.9798,,,,,,,,,,,-19.6627,-13.8473,,,,,-0.6416,,,-31.1531,,,,,,,,,,,,,-16.6870,,,,,,,,,-31.7945,,,,
810,,,,,,,,,,,,-31.5083,,,,-20.7877,,,-29.0907,,,-21.9378,-20.7243,-0.9493,,,,,,,,,,,-19.6621,-13.7602,,,,,-0.6368,,,-31.1542,,,,,,,,,,,,,-16.6247,,,,,,,,,-31.7960,,,,
811,,,,,,,,,,,,-31.5096,,,,-20.7967,,,-29.0909,,,-21.9295,-20.7311,-0.9198,,,,,,,,,,,-19.6615,-13.6798,,,,,-0.6321,,,-31.1553,,,,,,,,,,,,,-16.5574,,,,,,,,,-31.7974,,,,
812,,,,,,,,,,,,-31.5111,,,,-20.8057,,,-29.0911,,,-21.9212,-20.7379,-0.8914,,,,,,,,,,,-19.6609,-13.5976,,,,,-0.6277,,,-31.1564,,,,,,,,,,,,,-16.4853,,,,,,,,,-31.7987,,,,
813,,,,,,,,,,,,-31.5126,,,,-20.8148,,,-29.0913,,,-21.9128,-20.7447,-0.8642,,,,,,,,,,,-19.6603,-13.5092,,,,,-0.6235,,,-31.1575,,,,,,,,,,,,,-16.4086,,,,,,,,,-31.7999,,,,
814,,,,,,,,,,,,-31.5141,,,,-20.8238,,,-29.0915,,,-21.9044,-20.7515,-0.8381,,,,,,,,,,,-19.6596,-13.4235,,,,,-0.6196,,,-31.1586,,,,,,,,,,,,,-16.3274,,,,,,,,,-31.8012,,,,
815,,,,,,,,,,,,-31.5154,,,,-20.8329,,,-29.0917,,,-21.8959,-20.7583,-0.8131,,,,,,,,,,,-19.6590,-13.3375,,,,,-0.6158,,,-31.1597,,,,,,,,,,,,,-16.2420,,,,,,,,,-31.8025,,,,
816,,,,,,,,,,,,-31.5165,,,,-20.8420,,,-29.0919,,,-21.8873,-20.7651,-0.7894,,,,,,,,,,,-19.6584,-13.2549,,,,,-0.6123,,,-31.1608,,,,,,,,,,,,,-16.1524,,,,,,,,,-31.8039,,,,
817,,,,,,,,,,,,-31.5175,,,,-20.8511,,,-29.0920,,,-21.8787,-20.7719,-0.7668,,,,,,,,,,,-19.6578,-13.1657,,,,,-0.6089,,,-31.1619,,,,,,,,,,,,,-16.0589,,,,,,,,,-31.8054,,,,
818,,,,,,,,,,,,-31.5184,,,,-20.8602,,,-29.0922,,,-21.8701,-20.7787,-0.7455,,,,,,,,,,,-19.6572,-13.0775,,,,,-0.6057,,,-31.1630,,,,,,,,,,,,,-15.9616,,,,,,,,,-31.8069,,,,
819,,,,,,,,,,,,-31.5193,,,,-20.8693,,,-29.0923,,,-21.8613,-20.7854,-0.7254,,,,,,,,,,,-19.6566,-12.9905,,,,,-0.6027,,,-31.1641,,,,,,,,,,,,,-15.8606,,,,,,,,,-31.8083,,,,
820,,,,,,,,,,,,-31.5204,,,,-20.8784,,,-29.0925,,,-21.8525,-20.7922,-0.7066,,,,,,,,,,,-19.6559,-12.9014,,,,,-0.5998,,,-31.1652,,,,,,,,,,,,,-15.7563,,,,,,,,,-31.8097,,,,
821,,,,,,,,,,,,-31.5216,,,,-20.8875,,,-29.0927,,,-21.8436,-20.7989,-0.6890,,,,,,,,,,,-19.6553,-12.8101,,,,,-0.5970,,,-31.1663,,,,,,,,,,,,,-15.6486,,,,,,,,,-31.8109,,,,
822,,,,,,,,,,,,-31.5230,,,,-20.8967,,,-29.0928,,,-21.8346,-20.8057,-0.6728,,,,,,,,,,,-19.6547,-12.7167,,,,,-0.5942,,,-31.1674,,,,,,,,,,,,,-15.5379,,,,,,,,,-31.8120,,,,
823,,,,,,,,,,,,-31.5244,,,,-20.9058,,,-29.0930,,,-21.8256,-20.8124,-0.6578,,,,,,,,,,,-19.6542,-12.6291,,,,,-0.5915,,,-31.1685,,,,,,,,,,,,,-15.4242,,,,,,,,,-31.8131,,,,
824,,,,,,,,,,,,-31.5258,,,,-20.9150,,,-29.0931,,,-21.8164,-20.8191,-0.6443,,,,,,,,,,,-19.6536,-12.5415,,,,,-0.5889,,,-31.1697,,,,,,,,,,,,,-15.3077,,,,,,,,,-31.8143,,,,
825,,,,,,,,,,,,-31.5271,,,,-20.9241,,,-29.0933,,,-21.8072,-20.8258,-0.6320,,,,,,,,,,,-19.6530,-12.4505,,,,,-0.5865,,,-31.1708,,,,,,,,,,,,,-15.1887,,,,,,,,,-31.8155,,,,
826,,,,,,,,,,,,-31.5283,,,,-20.9333,,,-29.0935,,,-21.7978,-20.8325,-0.6212,,,,,,,,,,,-19.6524,-12.3581,,,,,-0.5847,,,-31.1719,,,,,,,,,,,,,-15.0672,,,,,,,,,-31.8169,,,,
827,,,,,,,,,,,,-31.5294,,,,-20.9425,,,-29.0936,,,-21.7884,-20.8392,-0.6117,,,,,,,,,,,-19.6519,-12.2681,,,,,-0.5834,,,-31.1731,,,,,,,,,,,,,-14.9434,,,,,,,,,-31.8185,,,,
828,,,,,,,,,,,,-31.5305,,,,-20.9517,,,-29.0938,,,-21.7788,-20.8459,-0.6037,,,,,,,,,,,-19.6513,-12.1774,,,,,-0.5830,,,-31.1742,,,,,,,,,,,,,-14.8176,,,,,,,,,-31.8201,,,,
829,,,,,,,,,,,,-31.5316,,,,-20.9610,,,-29.0939,,,-21.7692,-20.8525,-0.5971,,,,,,,,,,,-19.6508,-12.0840,,,,,-0.5950,,,-31.1754,,,,,,,,,,,,,-14.6898,,,,,,,,,-31.8217,,,,
830,,,,,,,,,,,,-31.5328,,,,-20.9702,,,-29.0941,,,-21.7594,-20.8592,-0.5920,,,,,,,,,,,-19.6502,-11.9866,,,,,,,,-31.1765,,,,,,,,,,,,,-14.5603,,,,,,,,,-31.8232,,,,
831,,,,,,,,,,,,-31.5341,,,,-20.9794,,,-29.0942,,,-21.7496,-20.8659,-0.5887,,,,,,,,,,,-19.6497,-11.8957,,,,,,,,-31.1777,,,,,,,,,,,,,-14.4292,,,,,,,,,-31.8245,,,,
832,,,,,,,,,,,,-31.5354,,,,-20.9887,,,-29.0944,,,-21.7397,-20.8725,-0.5860,,,,,,,,,,,-19.6492,-11.8048,,,,,,,,-31.1788,,,,,,,,,,,,,-14.2967,,,,,,,,,-31.8257,,,,
833,,,,,,,,,,,,-31.5368,,,,-20.9980,,,-29.0945,,,-21.7297,-20.8791,-0.5830,,,,,,,,,,,-19.6487,-11.7086,,,,,,,,-31.1800,,,,,,,,,,,,,-14.1629,,,,,,,,,-31.8269,,,,
834,,,,,,,,,,,,-31.5382,,,,-21.0073,,,-29.0947,,,-21.7196,-20.8857,,,,,,,,,,,,-19.6481,-11.6166,,,,,,,,-31.1811,,,,,,,,,,,,,-14.0280,,,,,,,,,-31.8282,,,,
835,,,,,,,,,,,,-31.5395,,,,-21.0165,,,-29.0948,,,-21.7094,-20.8924,,,,,,,,,,,,-19.6476,-11.5330,,,,,,,,-31.1823,,,,,,,,,,,,,-13.8923,,,,,,,,,-31.8296,,,,
836,,,,,,,,,,,,-31.5407,,,,-21.0259,,,-29.0949,,,-21.6992,-20.8990,,,,,,,,,,,,-19.6471,-11.4634,,,,,,,,-31.1835,,,,,,,,,,,,,-13.7558,,,,,,,,,-31.8313,,,,
837,,,,,,,,,,,,-31.5419,,,,-21.0352,,,-29.0950,,,-21.6889,-20.9056,,,,,,,,,,,,-19.6466,-11.3678,,,,,,,,-31.1846,,,,,,,,,,,,,-13.6187,,,,,,,,,-31.8332,,,,
838,,,,,,,,,,,,-31.5431,,,,-21.0445,,,-29.0952,,,-21.6785,-20.9121,,,,,,,,,,,,-19.6460,-11.3077,,,,,,,,-31.1858,,,,,,,,,,,,,-13.4812,,,,,,,,,-31.8352,,,,
839,,,,,,,,,,,,-31.5443,,,,-21.0539,,,-29.0953,,,-21.6681,-20.9187,,,,,,,,,,,,-19.6455,-11.2323,,,,,,,,-31.1870,,,,,,,,,,,,,-13.3435,,,,,,,,,-31.8372,,,,
840,,,,,,,,,,,,-31.5456,,,,-21.0632,,,-29.0954,,,-21.6576,-20.9253,,,,,,,,,,,,-19.6450,-11.1200,,,,,,,,-31.1882,,,,,,,,,,,,,-13.2057,,,,,,,,,-31.8388,,,,
841,,,,,,,,,,,,-31.5470,,,,-21.0726,,,-29.0955,,,-21.6471,-20.9318,,,,,,,,,,,,-19.6445,-11.0014,,,,,,,,-31.1894,,,,,,,,,,,,,-13.0680,,,,,,,,,-31.8401,,,,
842,,,,,,,,,,,,-31.5485,,,,-21.0820,,,-29.0957,,,-21.6365,-20.9383,,,,,,,,,,,,-19.6439,-10.8916,,,,,,,,-31.1906,,,,,,,,,,,,,-12.9306,,,,,,,,,-31.8413,,,,
843,,,,,,,,,,,,-31.5500,,,,-21.0914,,,-29.0958,,,-21.6259,-20.9449,,,,,,,,,,,,-19.6434,-10.7833,,,,,,,,-31.1918,,,,,,,,,,,,,-12.7936,,,,,,,,,-31.8424,,,,
844,,,,,,,,,,,,-31.5516,,,,-21.1008,,,-29.0959,,,-21.6152,-20.9514,,,,,,,,,,,,-19.6428,-10.6644,,,,,,,,-31.1930,,,,,,,,,,,,,-12.6573,,,,,,,,,-31.8436,,,,
845,,,,,,,,,,,,-31.5530,,,,-21.1102,,,-29.0960,,,-21.6045,-20.9579,,,,,,,,,,,,-19.6423,-10.5445,,,,,,,,-31.1942,,,,,,,,,,,,,-12.5217,,,,,,,,,-31.8448,,,,
846,,,,,,,,,,,,-31.5544,,,,-21.1197,,,-29.0961,,,-21.5938,-20.9644,,,,,,,,,,,,-19.6418,-10.4284,,,,,,,,-31.1954,,,,,,,,,,,,,-12.3871,,,,,,,,,-31.8461,,,,
847,,,,,,,,,,,,-31.5558,,,,-21.1291,,,-29.0962,,,-21.5830,-20.9709,,,,,,,,,,,,-19.6412,-10.3124,,,,,,,,-31.1967,,,,,,,,,,,,,-12.2536,,,,,,,,,-31.8475,,,,
848,,,,,,,,,,,,-31.5572,,,,-21.1386,,,-29.0962,,,-21.5722,-20.9773,,,,,,,,,,,,-19.6406,-10.1917,,,,,,,,-31.1979,,,,,,,,,,,,,-12.1213,,,,,,,,,-31.8490,,,,
849,,,,,,,,,,,,-31.5584,,,,-21.1481,,,-29.0963,,,-21.5614,-20.9838,,,,,,,,,,,,-19.6401,-10.0690,,,,,,,,-31.1992,,,,,,,,,,,,,-11.9906,,,,,,,,,-31.8505,,,,
850,,,,,,,,,,,,-31.5596,,,,-21.1576,,,-29.0964,,,-21.5505,-20.9902,,,,,,,,,,,,-19.6395,-9.9570,,,,,,,,-31.2004,,,,,,,,,,,,,-11.8614,,,,,,,,,-31.8519,,,,
851,,,,,,,,,,,,-31.5606,,,,-21.1671,,,-29.0965,,,-21.5397,-20.9967,,,,,,,,,,,,-19.6389,-9.8442,,,,,,,,-31.2016,,,,,,,,,,,,,-11.7341,,,,,,,,,-31.8533,,,,
852,,,,,,,,,,,,-31.5614,,,,-21.1766,,,-29.0966,,,-21.5288,-21.0031,,,,,,,,,,,,-19.6383,-9.7237,,,,,,,,-31.2029,,,,,,,,,,,,,-11.6087,,,,,,,,,-31.8547,,,,
853,,,,,,,,,,,,-31.5622,,,,-21.1862,,,-29.0966,,,-21.5179,-21.0095,,,,,,,,,,,,-19.6377,-9.6056,,,,,,,,-31.2041,,,,,,,,,,,,,-11.4854,,,,,,,,,-31.8561,,,,
854,,,,,,,,,,,,-31.5631,,,,-21.1957,,,-29.0967,,,-21.5070,-21.0159,,,,,,,,,,,,-19.6371,-9.4911,,,,,,,,-31.2053,,,,,,,,,,,,,-11.3644,,,,,,,,,-31.8576,,,,
855,,,,,,,,,,,,-31.5642,,,,-21.2053,,,-29.0968,,,-21.4962,-21.0223,,,,,,,,,,,,-19.6365,-9.3778,,,,,,,,-31.2066,,,,,,,,,,,,,-11.2459,,,,,,,,,-31.8591,,,,
856,,,,,,,,,,,,-31.5657,,,,-21.2149,,,-29.0969,,,-21.4853,-21.0287,,,,,,,,,,,,-19.6359,-9.2548,,,,,,,,-31.2079,,,,,,,,,,,,,-11.1301,,,,,,,,,-31.8607,,,,
857,,,,,,,,,,,,-31.5676,,,,-21.2245,,,-29.0969,,,-21.4744,-21.0350,,,,,,,,,,,,-19.6353,-9.1292,,,,,,,,-31.2091,,,,,,,,,,,,,-11.0170,,,,,,,,,-31.8625,,,,
858,,,,,,,,,,,,-31.5697,,,,-21.2341,,,-29.0970,,,-21.4635,-21.0414,,,,,,,,,,,,-19.6346,-9.0058,,,,,,,,-31.2104,,,,,,,,,,,,,-10.9069,,,,,,,,,-31.8642,,,,
859,,,,,,,,,,,,-31.5717,,,,-21.2437,,,-29.0970,,,-21.4526,-21.0477,,,,,,,,,,,,-19.6339,-8.8878,,,,,,,,-31.2117,,,,,,,,,,,,,-10.8000,,,,,,,,,-31.8659,,,,
860,,,,,,,,,,,,-31.5734,,,,-21.2534,,,-29.0971,,,-21.4417,-21.0540,,,,,,,,,,,,-19.6333,-8.7585,,,,,,,,-31.2130,,,,,,,,,,,,,-10.6952,,,,,,,,,-31.8675,,,,
861,,,,,,,,,,,,-31.5747,,,,-21.2631,,,-29.0971,,,-21.4307,-21.0604,,,,,,,,,,,,-19.6325,-8.6277,,,,,,,,-31.2143,,,,,,,,,,,,,-10.5913,,,,,,,,,-31.8689,,,,
862,,,,,,,,,,,,-31.5759,,,,-21.2727,,,-29.0972,,,-21.4197,-21.0667,,,,,,,,,,,,-19.6317,-8.4970,,,,,,,,-31.2156,,,,,,,,,,,,,-10.4880,,,,,,,,,-31.8702,,,,
863,,,,,,,,,,,,-31.5771,,,,-21.2824,,,-29.0972,,,-21.4087,-21.0729,,,,,,,,,,,,-19.6309,-8.3702,,,,,,,,-31.2168,,,,,,,,,,,,,-10.3850,,,,,,,,,-31.8715,,,,
864,,,,,,,,,,,,-31.5782,,,,-21.2921,,,-29.0973,,,-21.3976,-21.0792,,,,,,,,,,,,-19.6299,-8.2353,,,,,,,,-31.2181,,,,,,,,,,,,,-10.2822,,,,,,,,,-31.8728,,,,
