depth [m],Devon73,Isunnguata_M1-10,Jakobshavn95D_T4,Meighen67,Isunnguata_27km-12C,Isunnguata_33km_15N,TD5_91,SiteII,Isunnguata_27km-12B,StationCentrale,Isunnguata_33km_14SB,GRIP,Isunnguata_27km-11A,HansTausen_Hare,Jakobshavn95D_T5,Jakobshavn89A,Agassiz84,Renland88,NEEM,Isunnguata_27km-12A,Isunnguata_33km_14N,CampCentury,Jakobshavn89B,Jakobshavn95D_I2,Isunnguata_33km_14SA,FOXX2,TD4_91a,FOXX1,TD5_90,PrinceWales05,Agassiz77,Isunnguata_33km_15E,Isunnguata_46km-11A,Devon98,DYE-3,Store_R30_BH19c,FladeIsblink06,Jakobshavn95D_T3,TD1_88,CampVI_50,Jakobshavn95D_I1,Isua_10,Isunnguata_33km_15CA,GISP2,TD2_88,Isua_14,TD3_88,Isua_12,Agassiz79b,Isua_11,Isunnguata_33km_14W,Agassiz79a,TD4_91b,Isunnguata_27km-11B,Isua_13,GULL,Store_R29_BH18c,CampIII_78,Store_S30,Tuto_D-11,Isunnguata_27km-11C,Isunnguata_33km_15CB,Isunnguata_M2-10B,Devon72,Isunnguata_13km-10,NGRIP,HansTausen_Dome,Isunnguata_33km_15S,Penny96,Isunnguata_46km-11B
27,-23.0017,-0.0094,,-17.0565,-4.2807,-10.1583,-8.4430,-24.2329,-5.2121,-27.0756,,,,-15.8709,,-4.5917,-21.5394,-18.6614,,-5.1317,-4.8223,-24.2596,,,,-3.0405,-6.7843,,-8.3640,-21.2631,-24.1900,,-9.4909,-22.7524,,-6.9626,,-7.1194,,-13.2771,,-3.2595,,,-2.8000,-4.0700,-1.3656,-3.7638,-21.9828,-3.6419,,-22.0000,-6.6553,-5.3728,-4.0873,-1.2923,-5.1331,-0.8796,,-10.8671,-4.4403,,-0.0071,-23.1223,-2.5369,,-20.7463,,-12.6391,
28,-23.0017,-0.0108,,-17.0473,-4.2555,-10.1961,-8.4336,-24.2507,-5.1699,-27.0883,,,,-15.7848,,-4.6623,-21.5200,-18.6576,,-5.0587,-4.8438,-24.2677,,,,-2.9892,-6.7220,,-8.3490,-21.2705,-24.1900,,-9.4923,-22.7547,,-7.0019,,-7.2536,,-13.3238,,-3.2427,,,-2.7781,-4.0459,-1.3104,-3.7395,-21.9567,-3.5724,,-21.9684,-6.6124,-5.1176,-4.0286,-1.2750,-5.3495,-0.7778,,-10.8470,-4.2606,,-0.0062,-23.1286,-2.4820,,-20.7313,,-12.6497,
29,-23.0017,-0.0117,,-17.0382,-4.2316,-10.2313,-8.4252,-24.2680,-5.1297,-27.1027,,,,-15.7000,,-4.7331,-21.4967,-18.6533,,-4.9899,-4.8653,-24.2754,,,,-2.9423,-6.6677,,-8.3360,-21.2763,-24.1900,,-9.4939,-22.7565,,-7.0407,,-7.3874,,-13.3711,,-3.2249,,,-2.7564,-4.0209,-1.2568,-3.7105,-21.9311,-3.5056,,-21.9364,-6.5765,-4.8657,-3.9844,-1.2574,-5.5549,-0.6845,,-10.8284,-4.0876,,-0.0055,-23.1338,-2.4327,,-20.7164,,-12.6599,
30,-23.0027,-0.0120,,-17.0290,-4.2091,-10.2638,-8.4179,-24.2850,-5.0915,-27.1200,,,,-15.6165,,-4.8038,-21.4704,-18.6490,,-4.9252,-4.8868,-24.2829,,,,-2.9013,-6.6211,,-8.3250,-21.2803,-24.1900,,-9.4957,-22.7580,,-7.0801,,-7.5208,,-13.4200,,-3.2064,,,-2.7350,-3.9947,-1.2000,-3.6775,-21.9057,-3.4418,,-21.9052,-6.5475,-4.6179,-3.9509,-1.2394,-5.7412,-0.6000,,-10.8118,-3.9219,,-0.0048,-23.1378,-2.3920,,-20.7015,,-12.6700,
31,-23.0052,-0.0111,,-17.0196,-4.1883,-10.2934,-8.4117,-24.3016,-5.0555,-27.1462,,,,-15.5348,,-4.8747,-21.4427,-18.6442,,-4.8622,-4.9084,-24.2903,,,,-2.8676,-6.5822,,-8.3160,-21.2833,-24.1900,,-9.4976,-22.7591,,-7.1221,,-7.6537,,-13.4698,,-3.1874,,,-2.7139,-3.9674,-1.1372,-3.6409,-21.8800,-3.3813,,-21.8760,-6.5252,-4.3755,-3.9215,-1.2213,-5.9000,-0.5184,,-10.7965,-3.7641,,-0.0043,-23.1404,-2.3549,,-20.6866,,-12.6805,
32,-23.0089,-0.0087,,-17.0100,-4.1691,-10.3200,-8.4067,-24.3178,-5.0218,-27.1817,,,,-15.4550,,-4.9455,-21.4154,-18.6383,,-4.7982,-4.9300,-24.2975,,,,-2.8408,-6.5508,,-8.3090,-21.2862,-24.1808,,-9.4997,-22.7598,,-7.1721,,-7.7861,,-13.5195,,-3.1681,,,-2.6931,-3.9392,-1.0692,-3.6013,-21.8540,-3.3244,,-21.8500,-6.5094,-4.1395,-3.8951,-1.2030,-6.0410,-0.4352,,-10.7819,-3.6146,,-0.0036,-23.1413,-2.3154,,-20.6716,,-12.6914,
33,-23.0134,-0.0051,,-17.0005,-4.1516,-10.3434,-8.4030,-24.3336,-4.9905,-27.2192,,,,-15.3773,,-5.0164,-21.3900,-18.6318,,-4.7338,-4.9516,-24.3045,,,,-2.8180,-6.5267,,-8.3040,-21.2889,-24.1579,,-9.5019,-22.7600,,-7.2253,,-7.9180,,-13.5688,,-3.1487,,,-2.6727,-3.9104,-0.9970,-3.5593,-21.8280,-3.2712,,-21.8280,-6.5000,-3.9110,-3.8707,-1.1846,-6.1791,-0.3528,,-10.7671,-3.4741,,-0.0027,-23.1412,-2.2749,,-20.6567,,-12.7022,
34,-23.0184,-0.0007,,-16.9911,-4.1361,-10.3634,-8.4008,-24.3490,-4.9617,-27.2511,,,,-15.3017,,-5.0872,-21.3678,-18.6252,,-4.6693,-4.9732,-24.3114,,,,-2.7979,-6.5098,,-8.3010,-21.2913,-24.1286,,-9.5043,-22.7578,,-7.2767,,-8.0494,,-13.6178,,-3.1295,,,-2.6527,-3.8811,-0.9216,-3.5154,-21.8020,-3.2221,,-21.8087,-6.4938,-3.6911,-3.8473,-1.1663,-6.3145,-0.2736,,-10.7515,-3.3432,,-0.0015,-23.1410,-2.2351,,-20.6418,,-12.7128,
35,-23.0233,0.0040,,-16.9821,-4.1225,-10.3800,-8.4000,-24.3639,-4.9357,-27.2700,,,,-15.2285,,-5.1580,-21.3475,-18.6190,,-4.6051,-4.9949,-24.3181,,,,-2.7790,-6.5000,,-8.3000,-21.2934,-24.1002,,-9.5068,-22.7523,,-7.3320,,-8.1803,,-13.6664,,-3.1108,,,-2.6331,-3.8516,-0.8438,-3.4700,-21.7760,-3.1773,,-21.7905,-6.4878,-3.4808,-3.8238,-1.1481,-6.4472,-0.2000,,-10.7343,-3.2224,,0.0000,-23.1405,-2.1972,,-20.6269,,-12.7227,
36,-23.0278,0.0087,,-16.9734,-4.1111,-10.3941,-8.4003,-24.3785,-4.9125,-27.2780,,,,-15.1576,,-5.2288,-21.3273,-18.6132,,-4.5417,-5.0166,-24.3247,,,,-2.7590,-6.4938,,-8.3003,-21.2952,-24.0800,,-9.5094,-22.7449,,-7.3833,,-8.3106,,-13.7145,,-3.0904,,,-2.6140,-3.8222,-0.7644,-3.4160,-21.7500,-3.1350,,-21.7715,-6.4821,-3.2813,-3.7992,-1.1302,-6.5772,-0.1344,,-10.7144,-3.1123,,0.0037,-23.1400,-2.1630,,-20.6119,,-12.7316,
