depth [m],Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,CVI_EPF,CampCentury,CampIII_78b,CampVI,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,SiteII_EGIG,StationCentrale,StationCentrale_EGIG,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
25,-24.2180,-22.0640,-22.0400,-21.5740,-13.0522,-24.2328,-1.2000,-13.1600,,-23.1042,-23.0019,-22.7440,-1.7836,-3.1668,,,,-1.2758,-20.7761,-16.1000,-3.2894,-3.7882,-3.7966,-4.2250,-4.1137,-2.6070,,,-5.0759,-5.3998,-5.3820,-4.3907,-4.7805,,,,,,,-9.9700,,-9.4941,,-0.0060,-0.0100,-4.4094,5.1418,,,-6.6935,,,-17.0782,,,-12.6000,-21.2289,-18.6650,-24.1928,-24.0214,-27.0500,-26.9841,-6.8822,,,,-1.5000,-7.3500,-7.1400,-8.5000,-8.5000,-10.9237
26,-24.1900,-22.0320,-22.0100,-21.5560,-13.1170,-24.2444,-1.0800,-13.2120,,-23.1095,-23.0019,-22.7460,-1.7134,-3.0946,,,,-1.2629,-20.7612,-16.0000,-3.2715,-3.7271,-3.7640,-4.1648,-4.0905,-2.5640,,-5.6301,-4.9235,-5.3049,-5.3430,-4.3680,-4.8020,,,,,,,-10.0110,,-9.4960,,-0.0072,-0.0090,-4.4712,4.9306,,,-6.7982,,,-17.0683,,,-12.6140,-21.2392,-18.6618,-24.2099,-24.0396,-27.0640,-27.0010,-6.9138,,,,-1.4400,-7.2650,-7.0600,-8.4800,-8.4900,-10.8981
27,-24.1900,-22.0000,-21.9840,-21.5380,-13.1818,-24.2560,-0.9600,-13.2640,,-23.1148,-23.0018,-22.7480,-1.6432,-3.0492,,,,-1.2499,-20.7463,-15.9000,-3.2537,-3.6661,-3.7313,-4.1047,-4.0673,-2.5210,,-5.4542,-4.7711,-5.2099,-5.3040,-4.3453,-4.8235,,,,,,,-10.0520,,-9.4979,,-0.0084,-0.0080,-4.5331,4.7194,,,-6.9029,,,-17.0585,,,-12.6280,-21.2495,-18.6586,-24.2270,-24.0579,-27.0780,-27.0179,-6.9472,,,-2.8000,-1.3800,-7.1800,-6.9800,-8.4600,-8.4800,-10.8726
28,-24.1900,-21.9700,-21.9580,-21.5200,-13.2466,-24.2677,-0.8400,-13.3160,,-23.1201,-23.0018,-22.7500,-1.5729,-3.0038,,,,-1.2369,-20.7313,-15.8000,-3.2358,-3.6050,-3.6986,-4.0445,-4.0441,-2.4780,,-5.2784,-4.6188,-5.1150,-5.2650,-4.3225,-4.8450,,,,,,,-10.0930,,-9.4997,,-0.0096,-0.0070,-4.5950,4.5082,,,-7.0076,,,-17.0487,,,-12.6420,-21.2597,-18.6554,-24.2441,-24.0762,-27.0920,-27.0348,-6.9825,,,-2.7840,-1.3200,-7.0950,-6.9000,-8.4400,-8.4700,-10.8470
29,-24.1900,-21.9400,-21.9320,-21.4940,-13.3114,-24.2733,-0.7200,-13.3680,,-23.1254,-23.0017,-22.7520,-1.5027,-2.9584,,,,-1.2239,-20.7164,-15.7000,-3.2179,-3.5439,-3.6660,-3.9844,-4.0209,-2.4350,,-5.1026,-4.4664,-5.0201,-5.2260,-4.2997,-4.8665,,,,,,,-10.1340,,-9.5016,,-0.0108,-0.0060,-4.6569,4.2969,,,-7.1123,,,-17.0388,,,-12.6560,-21.2700,-18.6522,-24.2612,-24.0945,-27.1060,-27.0517,-7.0258,,,-2.7680,-1.2600,-7.0100,-6.8200,-8.4200,-8.4600,-10.8309
30,-24.1900,-21.9100,-21.9060,-21.4680,-13.3569,-24.2790,-0.6000,-13.4200,,-23.1307,-23.0051,-22.7540,-1.4685,-2.9130,,,,-1.2109,-20.7015,-15.6273,-3.2001,-3.4828,-3.6333,-3.9579,-3.9925,-2.3920,,-4.9267,-4.3140,-4.9252,-5.1870,-4.2770,-4.8880,,,,,,,-10.1750,,-9.5034,,-0.0120,-0.0050,-4.7188,4.0857,,,-7.2170,,,-17.0290,,,-12.6700,-21.2803,-18.6490,-24.2783,-24.1128,-27.1200,-27.0686,-7.0647,,,-2.7520,-1.2000,-6.9250,-6.7400,-8.4000,-8.4500,-10.8148
31,-24.1900,-21.8800,-21.8800,-21.4420,-13.4024,-24.2847,-0.5400,-13.4680,,-23.1360,-23.0084,-22.7560,-1.4342,-2.8676,,,,-1.1979,-20.6866,-15.5545,-3.1822,-3.4217,-3.6007,-3.9314,-3.9642,-2.3619,,-4.7509,-4.1616,-4.8790,-5.1480,-4.2542,-4.9095,,,,,,,-10.2160,,-9.5053,,-0.0088,-0.0040,-4.7806,3.8745,,,-7.3217,,,-17.0201,,,-12.6780,-21.2821,-18.6430,-24.2954,-24.1324,-27.1500,-27.0802,-7.1018,,,-2.7360,-1.1400,-6.8400,-6.6600,-8.3800,-8.4400,-10.7987
32,-24.1680,-21.8500,-21.8540,-21.4160,-13.4479,-24.2904,-0.4800,-13.5160,,-23.1413,-23.0117,-22.7580,-1.3999,-2.8455,,,,-1.1849,-20.6716,-15.4818,-3.1644,-3.3606,-3.5680,-3.9049,-3.9358,-2.3318,,-4.5750,-4.0092,-4.8329,-5.1090,-4.2315,-4.9310,,,,,,,-10.2570,,-9.5071,,-0.0056,-0.0030,-4.8425,3.6633,,,-7.4264,,,-17.0113,,,-12.6860,-21.2840,-18.6370,-24.3126,-24.1521,-27.1800,-27.0918,-7.1487,,,-2.7200,-1.0800,-6.7550,-6.5800,-8.3600,-8.4300,-10.7826
33,-24.1460,-21.8300,-21.8280,-21.3900,-13.4934,-24.2961,-0.4200,-13.5640,,-23.1405,-23.0150,-22.7600,-1.3656,-2.8233,,,,-1.1719,-20.6567,-15.4091,-3.1465,-3.2995,-3.5353,-3.8784,-3.9075,-2.3017,,-4.3992,-3.8569,-4.7867,-5.0700,-4.2088,-4.9525,,,,,,,-10.2980,,-9.5090,,-0.0024,-0.0020,-4.9044,3.4520,,,-7.5311,,,-17.0024,,,-12.6940,-21.2858,-18.6310,-24.3297,-24.1718,-27.2100,-27.1034,-7.2023,,,-2.7040,-1.0200,-6.6700,-6.5000,-8.3400,-8.4200,-10.7665
34,-24.1240,-21.8100,-21.8020,-21.3680,-13.5389,-24.3017,-0.3600,-13.6120,,-23.1398,-23.0184,-22.7540,-1.3314,-2.8012,,,,-1.1589,-20.6418,-15.3364,-3.1286,-3.2384,-3.5027,-3.8519,-3.8791,-2.2716,,-4.2234,-3.7045,-4.7405,-5.0310,-4.1860,-4.9740,,,,,,,-10.3390,,-9.5108,,0.0008,-0.0010,-4.9662,3.2408,,,-7.6358,,,-16.9935,,,-12.7020,-21.2877,-18.6250,-24.3468,-24.1914,-27.2400,-27.1150,-7.2545,,,-2.6880,-0.9600,-6.5850,-6.4973,-8.3200,-8.4100,-10.7504
35,-24.1020,-21.7900,-21.7760,-21.3460,-13.5844,-24.3074,-0.3000,-13.6600,,-23.1391,-23.0217,-22.7480,-1.2758,-2.7790,,,,-1.1459,-20.6269,-15.2636,-3.1108,-3.1773,-3.4700,-3.8255,-3.8508,-2.2415,,-4.0475,-3.5521,-4.6944,-4.9920,-4.1632,-4.9955,,,,,,,-10.3800,,-9.5127,,0.0040,0.0000,-5.0281,3.0296,,,-7.7405,,,-16.9846,,,-12.7100,-21.2895,-18.6190,-24.3639,-24.2111,-27.2700,-27.1266,-7.3057,,,-2.6720,-0.9000,-6.5000,-6.4947,-8.3000,-8.4000,-10.7343
36,-24.0800,-21.7700,-21.7500,-21.3240,-13.6300,-24.3131,-0.2400,-13.7080,,-23.1383,-23.0250,-22.7420,-1.2201,-2.7631,,,,-1.1330,-20.6119,-15.1909,-3.0916,-3.1446,-3.3931,-3.7990,-3.8224,-2.2114,,-3.8717,-3.3997,-4.6482,-4.9530,-4.1405,-5.0170,,,,,,,-10.3890,,-9.5145,,0.0072,0.0080,-5.0900,2.8184,,,-7.8452,,,-16.9757,,,-12.7180,-21.2913,-18.6132,-24.3763,-24.2307,-27.2760,-27.1382,-7.3628,,,-2.6560,-0.8400,-6.4973,-6.4920,-8.3170,-8.4170,-10.7139
37,-24.0700,-21.7500,-21.7240,-21.3020,-13.6755,-24.3188,-0.1800,-13.7560,,-23.1376,-23.0284,-22.7360,-1.1645,-2.7471,,,,-1.1200,-20.5970,-15.1182,-3.0724,-3.1120,-3.3162,-3.7725,-3.7941,-2.1813,,-3.6959,-3.2474,-4.6020,-4.9140,-4.1178,-5.0385,,,,,,,-10.3980,,-9.5164,,0.0104,0.0160,-5.1519,2.6071,,,-7.9499,,,-16.9669,,,-12.7260,-21.2932,-18.6074,-24.3887,-24.2504,-27.2820,-27.1498,-7.4137,,,-2.6400,-0.7800,-6.4947,-6.4893,-8.3340,-8.4340,-10.6936
38,-24.0600,-21.7220,-21.6980,-21.2800,-13.7210,-24.3245,-0.1200,-13.8040,,-23.1368,-23.0317,-22.7300,-1.1616,-2.7312,,,,-1.1070,-20.5821,-15.0455,-3.0532,-3.0793,-3.2393,-3.7420,-3.7657,-2.1512,,-3.5200,-3.0950,-4.5559,-4.8750,-4.0950,-5.0600,,,,,,,-10.4070,,-9.5182,,0.0136,0.0240,-5.2138,2.3959,,,-8.0546,,,-16.9580,,,-12.7340,-21.2950,-18.6016,-24.4011,-24.2700,-27.2880,-27.1614,-7.4700,,,-2.6240,-0.7200,-6.4920,-6.4867,-8.3510,-8.4510,-10.6732
39,-24.0500,-21.6940,-21.6720,-21.2420,-13.7665,-24.3301,-0.0600,-13.8520,,-23.1361,-23.0350,-22.7240,-1.1586,-2.7153,,,,-1.0940,-20.5672,-14.9727,-3.0340,-3.0467,-3.1623,-3.7116,-3.7374,-2.1211,,-3.3442,-2.9426,-4.5097,-4.8652,-4.0917,-5.0820,,,,,,,-10.4160,,-9.5201,,0.0168,0.0320,-5.2756,2.1847,,,-8.1593,,,-16.9522,,,-12.7420,-21.2969,-18.5958,-24.4135,-24.2897,-27.2940,-27.1730,-7.5310,,,-2.6080,-0.6600,-6.4893,-6.4840,-8.3680,-8.4680,-10.6529
