depth [m],Agassiz77,Agassiz79a,Agassiz79b,Agassiz84,CVI_EPF,CampCentury,CampIII_78b,CampVI,DYE-3,Devon72,Devon73,Devon98,FOXX1,FOXX2,FladeIsblink06,GISP2,GRIP,GULL,HansTausen_Dome,HansTausen_Hare,Isua_10,Isua_11,Isua_12,Isua_13,Isua_14,Isunnguata_13km-10,Isunnguata_27km-11A,Isunnguata_27km-11B,Isunnguata_27km-11C,Isunnguata_27km-12A,Isunnguata_27km-12B,Isunnguata_27km-12C,Isunnguata_33km_14N,Isunnguata_33km_14SA,Isunnguata_33km_14SB,Isunnguata_33km_14W,Isunnguata_33km_15CA,Isunnguata_33km_15CB,Isunnguata_33km_15E,Isunnguata_33km_15N,Isunnguata_33km_15S,Isunnguata_46km-11A,Isunnguata_46km-11B,Isunnguata_M1-10,Isunnguata_M2-10B,Jakobshavn89A,Jakobshavn89B,Jakobshavn95D_I1,Jakobshavn95D_I2,Jakobshavn95D_T3,Jakobshavn95D_T4,Jakobshavn95D_T5,Meighen67,NEEM,NGRIP,Penny96,PrinceWales05,Renland88,SiteII,SiteII_EGIG,StationCentrale,StationCentrale_EGIG,Store_R30_BH19c,Store_S30,TD1_88,TD2_88,TD3_88,TD4_91a,TD4_91b,TD5_90,TD5_91,Tuto_D-11
821,,,,,,-21.8406,,,-19.6550,,,,,,,-31.1663,-31.5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8444,-20.6657,-0.5970,-0.9524,,,,,-29.0927,-31.8109,,,,,,,,-12.8512,,,,,,,,,
822,,,,,,-21.8322,,,-19.6544,,,,,,,-31.1674,-31.5231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8547,-20.6719,-0.5946,-0.9123,,,,,-29.0928,-31.8120,,,,,,,,-12.7585,,,,,,,,,
823,,,,,,-21.8239,,,-19.6539,,,,,,,-31.1686,-31.5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8649,-20.6781,-0.5921,-0.8723,,,,,-29.0930,-31.8132,,,,,,,,-12.6641,,,,,,,,,
824,,,,,,-21.8155,,,-19.6534,,,,,,,-31.1697,-31.5258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8752,-20.6843,-0.5897,-0.8323,,,,,-29.0931,-31.8143,,,,,,,,-12.5835,,,,,,,,,
825,,,,,,-21.8072,,,-19.6529,,,,,,,-31.1708,-31.5271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8854,-20.6906,-0.5873,-0.7922,,,,,-29.0933,-31.8155,,,,,,,,-12.4912,,,,,,,,,
826,,,,,,-21.7968,,,-19.6524,,,,,,,-31.1719,-31.5282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.8956,-20.6968,-0.5849,-0.7522,,,,,-29.0935,-31.8170,,,,,,,,-12.3980,,,,,,,,,
827,,,,,,-21.7864,,,-19.6518,,,,,,,-31.1731,-31.5294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9059,-20.7030,-0.5824,-0.7121,,,,,-29.0936,-31.8186,,,,,,,,-12.3048,,,,,,,,,
828,,,,,,-21.7760,,,-19.6513,,,,,,,-31.1742,-31.5305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9161,-20.7093,-0.5800,-0.6721,,,,,-29.0938,-31.8201,,,,,,,,-12.2202,,,,,,,,,
829,,,,,,-21.7656,,,-19.6508,,,,,,,-31.1754,-31.5317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9264,-20.7155,-0.5950,-0.6320,,,,,-29.0939,-31.8217,,,,,,,,-12.1261,,,,,,,,,
830,,,,,,-21.7552,,,-19.6502,,,,,,,-31.1765,-31.5328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9366,-20.7217,,-0.5920,,,,,-29.0941,-31.8232,,,,,,,,-12.0323,,,,,,,,,
831,,,,,,-21.7448,,,-19.6496,,,,,,,-31.1777,-31.5341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9469,-20.7280,,-0.5890,,,,,-29.0942,-31.8245,,,,,,,,-11.9307,,,,,,,,,
832,,,,,,-21.7344,,,-19.6491,,,,,,,-31.1788,-31.5355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9571,-20.7342,,-0.5860,,,,,-29.0944,-31.8258,,,,,,,,-11.8520,,,,,,,,,
833,,,,,,-21.7240,,,-19.6485,,,,,,,-31.1800,-31.5368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9673,-20.7404,,-0.5830,,,,,-29.0945,-31.8270,,,,,,,,-11.7501,,,,,,,,,
834,,,,,,-21.7136,,,-19.6479,,,,,,,-31.1811,-31.5382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9776,-20.7467,,,,,,,-29.0947,-31.8283,,,,,,,,-11.6549,,,,,,,,,
835,,,,,,-21.7032,,,-19.6474,,,,,,,-31.1823,-31.5395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9878,-20.7529,,,,,,,-29.0948,-31.8296,,,,,,,,-11.5673,,,,,,,,,
836,,,,,,-21.6928,,,-19.6468,,,,,,,-31.1835,-31.5407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.9981,-20.7591,,,,,,,-29.0949,-31.8314,,,,,,,,-11.5008,,,,,,,,,
837,,,,,,-21.6824,,,-19.6462,,,,,,,-31.1847,-31.5419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0083,-20.7654,,,,,,,-29.0950,-31.8333,,,,,,,,-11.4131,,,,,,,,,
838,,,,,,-21.6720,,,-19.6457,,,,,,,-31.1858,-31.5432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0186,-20.7716,,,,,,,-29.0952,-31.8351,,,,,,,,-11.3184,,,,,,,,,
839,,,,,,-21.6616,,,-19.6451,,,,,,,-31.1870,-31.5444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0288,-20.7778,,,,,,,-29.0953,-31.8370,,,,,,,,-11.2831,,,,,,,,,
840,,,,,,-21.6512,,,-19.6445,,,,,,,-31.1882,-31.5456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0390,-20.7841,,,,,,,-29.0954,-31.8388,,,,,,,,-11.1704,,,,,,,,,
841,,,,,,-21.6408,,,-19.6440,,,,,,,-31.1894,-31.5471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0493,-20.7903,,,,,,,-29.0955,-31.8400,,,,,,,,-11.0538,,,,,,,,,
842,,,,,,-21.6304,,,-19.6434,,,,,,,-31.1906,-31.5486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0595,-20.7965,,,,,,,-29.0956,-31.8412,,,,,,,,-10.9346,,,,,,,,,
843,,,,,,-21.6200,,,-19.6429,,,,,,,-31.1918,-31.5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0698,-20.8028,,,,,,,-29.0958,-31.8424,,,,,,,,-10.8374,,,,,,,,,
844,,,,,,-21.6096,,,-19.6423,,,,,,,-31.1930,-31.5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0800,-20.8090,,,,,,,-29.0959,-31.8436,,,,,,,,-10.7176,,,,,,,,,
845,,,,,,-21.5992,,,-19.6417,,,,,,,-31.1942,-31.5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0903,-20.8152,,,,,,,-29.0960,-31.8448,,,,,,,,-10.5948,,,,,,,,,
846,,,,,,-21.5888,,,-19.6412,,,,,,,-31.1954,-31.5543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1005,-20.8214,,,,,,,-29.0961,-31.8462,,,,,,,,-10.4775,,,,,,,,,
847,,,,,,-21.5784,,,-19.6406,,,,,,,-31.1967,-31.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1108,-20.8277,,,,,,,-29.0962,-31.8476,,,,,,,,-10.3624,,,,,,,,,
848,,,,,,-21.5680,,,-19.6400,,,,,,,-31.1979,-31.5570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1210,-20.8339,,,,,,,-29.0962,-31.8491,,,,,,,,-10.2452,,,,,,,,,
849,,,,,,-21.5576,,,-19.6395,,,,,,,-31.1992,-31.5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1312,-20.8401,,,,,,,-29.0963,-31.8505,,,,,,,,-10.1267,,,,,,,,,
850,,,,,,-21.5472,,,-19.6389,,,,,,,-31.2004,-31.5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1415,-20.8464,,,,,,,-29.0964,-31.8519,,,,,,,,-10.0053,,,,,,,,,
851,,,,,,-21.5368,,,-19.6383,,,,,,,-31.2016,-31.5605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1517,-20.8526,,,,,,,-29.0965,-31.8533,,,,,,,,-9.8941,,,,,,,,,
852,,,,,,-21.5264,,,-19.6378,,,,,,,-31.2029,-31.5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1620,-20.8588,,,,,,,-29.0966,-31.8548,,,,,,,,-9.7804,,,,,,,,,
853,,,,,,-21.5160,,,-19.6372,,,,,,,-31.2041,-31.5624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1722,-20.8651,,,,,,,-29.0966,-31.8562,,,,,,,,-9.6573,,,,,,,,,
854,,,,,,-21.5056,,,-19.6367,,,,,,,-31.2054,-31.5633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1825,-20.8713,,,,,,,-29.0967,-31.8577,,,,,,,,-9.5392,,,,,,,,,
855,,,,,,-21.4952,,,-19.6361,,,,,,,-31.2066,-31.5642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.1927,-20.8775,,,,,,,-29.0968,-31.8591,,,,,,,,-9.4307,,,,,,,,,
856,,,,,,-21.4848,,,-19.6355,,,,,,,-31.2079,-31.5660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2029,-20.8838,,,,,,,-29.0969,-31.8608,,,,,,,,-9.3102,,,,,,,,,
857,,,,,,-21.4744,,,-19.6350,,,,,,,-31.2092,-31.5679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2132,-20.8900,,,,,,,-29.0969,-31.8625,,,,,,,,-9.1850,,,,,,,,,
858,,,,,,-21.4630,,,-19.6344,,,,,,,-31.2104,-31.5697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2234,-20.8962,,,,,,,-29.0970,-31.8641,,,,,,,,-9.0546,,,,,,,,,
859,,,,,,-21.4517,,,-19.6338,,,,,,,-31.2117,-31.5716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2337,-20.9025,,,,,,,-29.0970,-31.8658,,,,,,,,-8.9482,,,,,,,,,
860,,,,,,-21.4403,,,-19.6333,,,,,,,-31.2130,-31.5734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2439,-20.9087,,,,,,,-29.0971,-31.8675,,,,,,,,-8.8138,,,,,,,,,
861,,,,,,-21.4289,,,-19.6324,,,,,,,-31.2143,-31.5746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2542,-20.9149,,,,,,,-29.0971,-31.8688,,,,,,,,-8.6856,,,,,,,,,
862,,,,,,-21.4175,,,-19.6316,,,,,,,-31.2156,-31.5758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2644,-20.9212,,,,,,,-29.0972,-31.8702,,,,,,,,-8.5480,,,,,,,,,
863,,,,,,-21.4062,,,-19.6307,,,,,,,-31.2168,-31.5770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2746,-20.9274,,,,,,,-29.0972,-31.8715,,,,,,,,-8.4311,,,,,,,,,
864,,,,,,-21.3948,,,-19.6299,,,,,,,-31.2181,-31.5782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2849,-20.9336,,,,,,,-29.0973,-31.8729,,,,,,,,-8.2975,,,,,,,,,
865,,,,,,-21.3834,,,-19.6290,,,,,,,-31.2194,-31.5794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.2951,-20.9399,,,,,,,-29.0973,-31.8742,,,,,,,,-8.1621,,,,,,,,,
866,,,,,,-21.3720,,,-19.6282,,,,,,,-31.2207,-31.5808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3054,-20.9461,,,,,,,-29.0973,-31.8758,,,,,,,,-8.0374,,,,,,,,,
867,,,,,,-21.3607,,,-19.6273,,,,,,,-31.2220,-31.5822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3156,-20.9523,,,,,,,-29.0973,-31.8774,,,,,,,,-7.8986,,,,,,,,,
868,,,,,,-21.3493,,,-19.6265,,,,,,,-31.2234,-31.5836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3259,-20.9586,,,,,,,-29.0974,-31.8791,,,,,,,,-7.7630,,,,,,,,,
869,,,,,,-21.3379,,,-19.6256,,,,,,,-31.2247,-31.5850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3361,-20.9648,,,,,,,-29.0974,-31.8807,,,,,,,,-7.6323,,,,,,,,,
870,,,,,,-21.3265,,,-19.6248,,,,,,,-31.2260,-31.5864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3463,-20.9710,,,,,,,-29.0974,-31.8823,,,,,,,,-7.5062,,,,,,,,,
871,,,,,,-21.3152,,,-19.6239,,,,,,,-31.2273,-31.5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3566,-20.9772,,,,,,,-29.0974,-31.8837,,,,,,,,-7.3711,,,,,,,,,
872,,,,,,-21.3038,,,-19.6231,,,,,,,-31.2286,-31.5890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3668,-20.9835,,,,,,,-29.0974,-31.8850,,,,,,,,-7.2501,,,,,,,,,
873,,,,,,-21.2924,,,-19.6222,,,,,,,-31.2300,-31.5903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3771,-20.9897,,,,,,,-29.0974,-31.8864,,,,,,,,-7.1037,,,,,,,,,
874,,,,,,-21.2810,,,-19.6214,,,,,,,-31.2313,-31.5916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3873,-20.9959,,,,,,,-29.0974,-31.8877,,,,,,,,-6.9932,,,,,,,,,
875,,,,,,-21.2697,,,-19.6205,,,,,,,-31.2326,-31.5929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.3976,-21.0022,,,,,,,-29.0974,-31.8891,,,,,,,,-6.8445,,,,,,,,,
876,,,,,,-21.2583,,,-19.6197,,,,,,,-31.2340,-31.5946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4078,-21.0084,,,,,,,-29.0974,-31.8907,,,,,,,,-6.7145,,,,,,,,,
877,,,,,,-21.2469,,,-19.6188,,,,,,,-31.2353,-31.5962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4181,-21.0146,,,,,,,-29.0973,-31.8922,,,,,,,,-6.5890,,,,,,,,,
878,,,,,,-21.2355,,,-19.6180,,,,,,,-31.2367,-31.5979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4283,-21.0209,,,,,,,-29.0973,-31.8938,,,,,,,,-6.4693,,,,,,,,,
879,,,,,,-21.2242,,,-19.6171,,,,,,,-31.2380,-31.5995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4385,-21.0271,,,,,,,-29.0972,-31.8953,,,,,,,,-6.3382,,,,,,,,,
880,,,,,,-21.2128,,,-19.6163,,,,,,,-31.2394,-31.6012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4488,-21.0333,,,,,,,-29.0972,-31.8969,,,,,,,,-6.2205,,,,,,,,,
881,,,,,,-21.2014,,,-19.6154,,,,,,,-31.2408,-31.6025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4590,-21.0396,,,,,,,-29.0971,-31.8983,,,,,,,,-6.0947,,,,,,,,,
882,,,,,,-21.1900,,,-19.6146,,,,,,,-31.2421,-31.6038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4693,-21.0458,,,,,,,-29.0971,-31.8997,,,,,,,,-6.0089,,,,,,,,,
883,,,,,,-21.1787,,,-19.6137,,,,,,,-31.2435,-31.6050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4795,-21.0520,,,,,,,-29.0970,-31.9012,,,,,,,,-5.9015,,,,,,,,,
884,,,,,,-21.1673,,,-19.6129,,,,,,,-31.2448,-31.6063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.4898,-21.0583,,,,,,,-29.0970,-31.9026,,,,,,,,-5.7319,,,,,,,,,
885,,,,,,-21.1559,,,-19.6120,,,,,,,-31.2462,-31.6076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5000,-21.0645,,,,,,,-29.0969,-31.9040,,,,,,,,-5.6211,,,,,,,,,
886,,,,,,-21.1445,,,-19.6112,,,,,,,-31.2476,-31.6092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5100,-21.0707,,,,,,,-29.0968,-31.9056,,,,,,,,-5.5126,,,,,,,,,
887,,,,,,-21.1332,,,-19.6103,,,,,,,-31.2489,-31.6108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5200,-21.0770,,,,,,,-29.0967,-31.9072,,,,,,,,-5.3733,,,,,,,,,
888,,,,,,-21.1218,,,-19.6095,,,,,,,-31.2503,-31.6124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5300,-21.0832,,,,,,,-29.0966,-31.9088,,,,,,,,-5.2618,,,,,,,,,
889,,,,,,-21.1104,,,-19.6098,,,,,,,-31.2516,-31.6140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5400,-21.0894,,,,,,,-29.0965,-31.9104,,,,,,,,-5.1346,,,,,,,,,
890,,,,,,-21.0979,,,-19.6102,,,,,,,-31.2530,-31.6156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5500,-21.0957,,,,,,,-29.0964,-31.9120,,,,,,,,-5.0712,,,,,,,,,
891,,,,,,-21.0853,,,-19.6106,,,,,,,-31.2544,-31.6166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5600,-21.1019,,,,,,,-29.0963,-31.9133,,,,,,,,-5.0288,,,,,,,,,
892,,,,,,-21.0728,,,-19.6109,,,,,,,-31.2558,-31.6176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5700,-21.1081,,,,,,,-29.0962,-31.9146,,,,,,,,-4.9133,,,,,,,,,
893,,,,,,-21.0602,,,-19.6113,,,,,,,-31.2572,-31.6186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5800,-21.1143,,,,,,,-29.0960,-31.9160,,,,,,,,-4.8658,,,,,,,,,
894,,,,,,-21.0477,,,-19.6117,,,,,,,-31.2586,-31.6196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.5900,-21.1206,,,,,,,-29.0959,-31.9173,,,,,,,,-4.8098,,,,,,,,,
895,,,,,,-21.0351,,,-19.6121,,,,,,,-31.2600,-31.6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6000,-21.1268,,,,,,,-29.0958,-31.9186,,,,,,,,-4.7359,,,,,,,,,
896,,,,,,-21.0226,,,-19.6124,,,,,,,-31.2614,-31.6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6100,-21.1330,,,,,,,-29.0956,-31.9201,,,,,,,,-4.6249,,,,,,,,,
897,,,,,,-21.0100,,,-19.6128,,,,,,,-31.2629,-31.6243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6200,-21.1393,,,,,,,-29.0955,-31.9216,,,,,,,,-4.5606,,,,,,,,,
898,,,,,,-20.9975,,,-19.6132,,,,,,,-31.2643,-31.6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6300,-21.1455,,,,,,,-29.0953,-31.9231,,,,,,,,-4.4988,,,,,,,,,
899,,,,,,-20.9849,,,-19.6135,,,,,,,-31.2658,-31.6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6400,-21.1517,,,,,,,-29.0952,-31.9246,,,,,,,,-4.4478,,,,,,,,,
900,,,,,,-20.9723,,,-19.6139,,,,,,,-31.2672,-31.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6500,-21.1580,,,,,,,-29.0950,-31.9261,,,,,,,,-4.3752,,,,,,,,,
901,,,,,,-20.9598,,,-19.6143,,,,,,,-31.2686,-31.6314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6600,-21.1642,,,,,,,-29.0948,-31.9276,,,,,,,,-4.2998,,,,,,,,,
902,,,,,,-20.9472,,,-19.6146,,,,,,,-31.2701,-31.6330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6700,-21.1704,,,,,,,-29.0946,-31.9291,,,,,,,,-4.2356,,,,,,,,,
903,,,,,,-20.9347,,,-19.6150,,,,,,,-31.2715,-31.6347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6800,-21.1767,,,,,,,-29.0945,-31.9307,,,,,,,,-4.1630,,,,,,,,,
904,,,,,,-20.9221,,,-19.6154,,,,,,,-31.2730,-31.6363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6900,-21.1829,,,,,,,-29.0943,-31.9322,,,,,,,,-3.9899,,,,,,,,,
905,,,,,,-20.9096,,,-19.6157,,,,,,,-31.2744,-31.6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7000,-21.1891,,,,,,,-29.0941,-31.9337,,,,,,,,-3.9118,,,,,,,,,
906,,,,,,-20.8970,,,-19.6161,,,,,,,-31.2758,-31.6389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7100,-21.1954,,,,,,,-29.0939,-31.9354,,,,,,,,-3.8396,,,,,,,,,
907,,,,,,-20.8845,,,-19.6165,,,,,,,-31.2773,-31.6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7200,-21.2016,,,,,,,-29.0937,-31.9371,,,,,,,,-3.7736,,,,,,,,,
908,,,,,,-20.8719,,,-19.6169,,,,,,,-31.2787,-31.6410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7300,-21.2078,,,,,,,-29.0934,-31.9387,,,,,,,,-3.6639,,,,,,,,,
909,,,,,,-20.8594,,,-19.6172,,,,,,,-31.2802,-31.6421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7400,-21.2141,,,,,,,-29.0932,-31.9404,,,,,,,,-3.5941,,,,,,,,,
910,,,,,,-20.8468,,,-19.6176,,,,,,,-31.2816,-31.6431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7500,-21.2203,,,,,,,-29.0930,-31.9421,,,,,,,,-3.4914,,,,,,,,,
911,,,,,,-20.8343,,,-19.6180,,,,,,,-31.2831,-31.6452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7600,-21.2265,,,,,,,-29.0928,-31.9435,,,,,,,,-3.4577,,,,,,,,,
912,,,,,,-20.8217,,,-19.6183,,,,,,,-31.2846,-31.6473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7700,-21.2328,,,,,,,-29.0925,-31.9448,,,,,,,,-3.4462,,,,,,,,,
913,,,,,,-20.8092,,,-19.6187,,,,,,,-31.2860,-31.6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7800,-21.2390,,,,,,,-29.0923,-31.9462,,,,,,,,-3.5673,,,,,,,,,
914,,,,,,-20.7966,,,-19.6191,,,,,,,-31.2875,-31.6515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7900,-21.2452,,,,,,,-29.0920,-31.9475,,,,,,,,-3.6492,,,,,,,,,
915,,,,,,-20.7841,,,-19.6194,,,,,,,-31.2890,-31.6536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.8000,-21.2514,,,,,,,-29.0918,-31.9489,,,,,,,,-3.6362,,,,,,,,,
916,,,,,,-20.7715,,,-19.6198,,,,,,,-31.2905,-31.6552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7890,-21.2577,,,,,,,-29.0915,-31.9507,,,,,,,,-3.5885,,,,,,,,,
917,,,,,,-20.7590,,,-19.6188,,,,,,,-31.2920,-31.6568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7780,-21.2639,,,,,,,-29.0912,-31.9524,,,,,,,,-3.4029,,,,,,,,,
918,,,,,,-20.7464,,,-19.6179,,,,,,,-31.2934,-31.6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7669,-21.2701,,,,,,,-29.0910,-31.9542,,,,,,,,-3.3352,,,,,,,,,
919,,,,,,-20.7329,,,-19.6169,,,,,,,-31.2949,-31.6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7559,-21.2764,,,,,,,-29.0907,-31.9559,,,,,,,,-3.1368,,,,,,,,,
920,,,,,,-20.7195,,,-19.6159,,,,,,,-31.2964,-31.6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7449,-21.2826,,,,,,,-29.0904,-31.9577,,,,,,,,-3.1088,,,,,,,,,
921,,,,,,-20.7060,,,-19.6150,,,,,,,-31.2979,-31.6627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7339,-21.2888,,,,,,,-29.0901,-31.9589,,,,,,,,-3.1333,,,,,,,,,
922,,,,,,-20.6925,,,-19.6140,,,,,,,-31.2994,-31.6638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7228,-21.2951,,,,,,,-29.0898,-31.9602,,,,,,,,-3.0886,,,,,,,,,
923,,,,,,-20.6790,,,-19.6130,,,,,,,-31.3009,-31.6648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7118,-21.3013,,,,,,,-29.0894,-31.9614,,,,,,,,-3.0182,,,,,,,,,
924,,,,,,-20.6655,,,-19.6121,,,,,,,-31.3024,-31.6659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.7008,-21.3075,,,,,,,-29.0891,-31.9627,,,,,,,,-3.0340,,,,,,,,,
925,,,,,,-20.6520,,,-19.6111,,,,,,,-31.3039,-31.6670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6898,-21.3138,,,,,,,-29.0888,-31.9639,,,,,,,,-2.9177,,,,,,,,,
926,,,,,,-20.6386,,,-19.6101,,,,,,,-31.3054,-31.6687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6788,-21.3200,,,,,,,-29.0885,-31.9655,,,,,,,,-2.8423,,,,,,,,,
927,,,,,,-20.6251,,,-19.6091,,,,,,,-31.3069,-31.6703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6677,-21.3262,,,,,,,-29.0881,-31.9671,,,,,,,,-2.8751,,,,,,,,,
928,,,,,,-20.6116,,,-19.6082,,,,,,,-31.3085,-31.6720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6567,-21.3325,,,,,,,-29.0878,-31.9688,,,,,,,,-2.8202,,,,,,,,,
929,,,,,,-20.5981,,,-19.6072,,,,,,,-31.3100,-31.6736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6457,-21.3387,,,,,,,-29.0874,-31.9704,,,,,,,,-2.8102,,,,,,,,,
930,,,,,,-20.5846,,,-19.6062,,,,,,,-31.3115,-31.6753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6347,-21.3449,,,,,,,-29.0871,-31.9720,,,,,,,,-2.7306,,,,,,,,,
931,,,,,,-20.5712,,,-19.6053,,,,,,,-31.3130,-31.6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.6236,-21.3512,,,,,,,-29.0867,-31.9734,,,,,,,,-2.6461,,,,,,,,,
