normalized,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
0.6200,-22.5840,-21.3300,-21.3360,-20.9800,-23.7496,-22.1292,-22.5106,-22.4379,-19.6760,-17.1638,-4.5511,-31.6780,-31.9481,-8.5463,0.0115,0.0408,,-3.0862,-3.6444,-4.8767,-5.6634,-5.3867,-13.6621,-13.6399,-19.2333,-11.9856,-3.0724,-2.8409,-3.2393,-2.0349,-2.0796,-21.6109,-19.3419,-19.7285,-9.6480,-10.4735,,-11.4747,-11.5644,,-11.9806,-11.5680,-10.8069,-16.9120,-29.0668,-32.1511,-12.5670,-21.1085,-18.0493,,-1.8120,-2.0267,-0.0830,-11.2491
0.6300,-22.6800,-21.3500,-21.3920,-21.0180,-23.7991,-22.1600,-22.5561,-22.4759,-19.6789,-17.2140,-4.3139,-31.6470,-31.8960,-8.1793,0.0098,0.0469,,-3.1535,-3.6770,-4.8903,-5.7119,-5.4071,-13.7593,-13.7009,-19.2846,-12.0953,-3.0916,-2.8835,-3.3162,-2.0415,-2.1400,-21.4402,-19.1788,-19.7285,-9.5070,-10.5180,,-11.5155,-11.5833,,-11.9607,-11.5885,-10.8041,-16.9177,-29.0805,-32.1226,-12.6050,-21.1276,-18.0827,,-1.7880,-2.0120,-0.0800,-11.2491
0.6400,-22.7280,-21.3920,-21.4200,-21.0360,-23.8489,-22.1900,-22.5990,-22.5144,-19.6983,-17.2590,-4.1107,-31.6160,-31.8229,-7.7951,0.0082,0.0591,,-3.2074,-3.7032,-4.9039,-5.7604,-5.3389,-13.6253,-13.7696,-19.3498,-12.2049,-3.1108,-2.9161,-3.3931,-2.0481,-2.2003,-21.2695,-19.0158,-19.6912,-9.3861,-10.5562,,-11.5504,-11.5995,,-11.9436,-11.6060,-10.8016,-16.9235,-29.0892,-32.0931,-12.6430,-21.1468,-18.1162,,-1.7640,-2.0320,-0.0760,-11.3112
0.6500,-22.7960,-21.4140,-21.4560,-21.0540,-23.8986,-22.2236,-22.6420,-22.5536,-19.7292,-17.2965,-3.9075,-31.5700,-31.7725,-7.4109,0.0065,0.0652,,-3.2393,-3.7358,-4.8783,-5.8089,-5.2559,-13.3779,-13.7887,-19.3914,-12.3193,-3.1286,-2.9488,-3.4700,-2.0525,-2.2607,-21.0989,-18.8528,-19.3925,-9.2741,-10.5809,,-11.5751,-11.6231,,-11.9582,-11.6265,-10.7888,-16.9350,-29.0944,-32.0602,-12.6620,-21.1564,-18.1608,,-1.7400,-2.0520,-0.0720,-11.3112
0.6600,-22.8500,-21.4580,-21.4740,-21.0720,-23.9451,-22.2568,-22.6832,-22.5927,-19.7547,-17.3340,-3.7043,-31.5080,-31.7260,-7.0267,0.0048,0.0774,,-3.2623,-3.7485,-4.8461,-5.8046,-5.2022,-13.1736,-13.8019,-19.4469,-12.4431,-3.1465,-2.9814,-3.5027,-2.0945,-2.3210,-20.9563,-18.6789,-19.0939,-9.1669,-10.6023,,-11.5998,-11.6500,,-11.9987,-11.6470,-10.7685,-16.9407,-29.0952,-32.0130,-12.7000,-21.1756,-18.1942,,-1.7160,-2.0680,-0.0690,-11.3734
0.6700,-22.9220,-21.4800,-21.4920,-21.1280,-23.9985,-22.2892,-22.7211,-22.6319,-19.7612,-17.3632,-3.4672,-31.4460,-31.6783,-6.6425,0.0031,0.0835,,-3.2807,-3.7546,-4.8140,-5.7299,-5.2216,-13.1542,-13.7047,-19.4927,-12.5670,-3.1644,-3.0141,-3.5353,-2.2072,-2.3813,-20.8175,-18.5158,-18.7579,-9.0750,-10.6206,,-11.6229,-11.6731,,-12.0334,-11.6645,-10.7511,-16.9465,-29.0937,-31.9658,-12.7100,-21.1922,-18.2277,,-1.6800,-2.0880,-0.0660,-11.3734
0.6800,-23.0020,-21.5320,-21.5320,-21.1660,-24.0520,-22.3160,-22.7590,-22.6713,-19.7681,-17.3612,-3.3277,-31.3840,-31.6313,-6.2647,0.0014,0.0957,,-3.3037,-3.7623,-4.7818,-5.6553,-5.2410,-13.1347,-13.5413,-19.5565,-12.6909,-3.1822,-3.0793,-3.5680,-2.2822,-2.4417,-20.6787,-18.3528,-18.4593,-8.9443,-10.6430,,-11.6607,-11.6833,,-12.0390,-11.6664,-10.7421,-16.9522,-29.0897,-31.9202,-12.7200,-21.2087,-18.2611,,-1.6200,-2.0920,-0.0620,-11.4027
0.6900,-23.0500,-21.5580,-21.5540,-21.2040,-24.1054,-22.3400,-22.7969,-22.7107,-19.7854,-17.3588,-3.2200,-31.3220,-31.5928,-5.8955,0.0014,0.1018,,-3.2761,-3.7684,-4.7497,-5.5913,-5.2626,-13.0835,-13.4014,-19.6044,-12.7735,-3.2001,-3.1120,-3.6007,-2.3821,-2.5244,-20.5399,-18.0982,-18.2219,-8.8289,-10.6621,,-11.6932,-11.6812,,-12.0214,-11.6467,-10.7417,-16.9580,-29.0840,-31.8729,-12.7250,-21.2170,-18.3057,,-1.5600,-2.0760,-0.0580,-11.4027
0.7000,-23.1220,-21.5840,-21.5980,-21.2800,-24.1353,-22.3700,-22.8246,-22.7502,-19.8066,-17.3568,-3.0944,-31.2600,-31.5558,-5.5263,-0.0003,0.0960,,-3.2270,-3.7577,-4.7260,-5.5166,-5.2898,-13.0045,-13.2520,-19.6523,-12.8974,-3.2179,-3.1446,-3.6333,-2.4317,-2.6182,-20.3961,-17.8251,-18.1619,-8.6943,-10.6844,,-11.7311,-11.6787,,-12.0009,-11.6236,-10.7412,-16.9757,-29.0764,-31.8253,-12.7350,-21.2336,-18.3340,,-1.5000,-2.0560,-0.0550,-11.4320
0.7100,-23.1760,-21.6380,-21.6200,-21.3020,-24.1633,-22.3950,-22.8524,-22.7802,-19.8286,-17.3551,-2.9868,-31.1990,-31.5178,-5.1571,-0.0020,0.0845,,-3.1656,-3.7193,-4.7137,-5.4420,-5.3169,-12.8293,-13.1264,-19.7101,-13.0213,-3.2358,-3.1773,-3.6660,-2.5060,-2.7121,-20.2326,-17.5520,-18.1084,-8.5256,-10.7059,,-11.7351,-11.6770,,-11.9679,-11.6166,-10.7296,-16.9846,-29.0682,-31.7776,-12.7450,-21.2501,-18.3520,,-1.4400,-2.0360,-0.0520,-11.4320
0.7200,-23.2480,-21.6660,-21.6720,-21.3240,-24.1914,-22.4100,-22.8802,-22.8056,-19.8352,-17.3533,-2.8792,-31.1680,-31.4787,-4.7879,-0.0014,0.0787,,-3.1043,-3.6887,-4.7013,-5.4395,-5.3033,-12.4910,-12.9828,-19.7520,-13.1451,-3.2537,-3.2384,-3.6986,-2.5803,-2.8059,-20.0623,-17.2606,-18.0550,-8.3761,-10.7244,,-11.7384,-11.6760,,-11.9318,-11.6161,-10.7126,-16.9935,-29.0593,-31.7300,-12.7500,-21.2624,-18.3700,,-1.3800,-2.0200,-0.0480,-11.4613
0.7300,-23.3020,-21.7220,-21.6980,-21.3460,-24.2369,-22.4370,-22.9081,-22.8311,-19.8482,-17.3458,-2.7541,-31.1370,-31.4356,-4.4329,-0.0008,0.0672,,-3.0552,-3.6503,-4.6762,-5.4912,-5.2355,-12.2036,-12.8297,-19.8079,-13.2690,-3.2715,-3.3606,-3.7313,-2.6298,-2.8389,-19.8920,-16.9875,-18.0016,-8.2017,-10.7459,,-11.7443,-11.6749,,-11.8896,-11.6155,-10.6926,-17.0024,-29.0505,-31.6839,-12.7500,-21.2665,-18.3889,,-1.3200,-2.0000,-0.0440,-11.4613
0.7400,-23.3480,-21.7500,-21.7240,-21.3900,-24.2804,-22.4700,-22.9361,-22.8542,-19.8737,-17.3350,-2.6480,-31.1060,-31.3991,-4.1135,-0.0002,0.0614,,-2.9939,-3.6196,-4.6190,-5.5429,-5.1676,-12.0795,-12.6645,-19.8498,-13.3946,-3.2894,-3.4217,-3.7640,-2.6782,-2.8415,-19.7217,-16.7144,-17.9415,-8.1004,-10.7532,,-11.7591,-11.6643,,-11.8621,-11.5866,-10.6741,-17.0201,-29.0424,-31.6503,-12.7500,-21.2745,-18.4018,,-1.2600,-2.0600,-0.0410,-11.4906
0.7500,-23.4060,-21.7700,-21.7760,-21.4160,-24.3290,-22.4970,-22.9642,-22.8727,-19.9081,-17.3075,-2.5419,-31.0750,-31.3660,-3.7941,0.0004,0.0499,,-2.9325,-3.5775,-4.5619,-5.5039,-5.1163,-12.0578,-12.4501,-19.9051,-13.5236,-3.3002,-3.4828,-3.7966,-2.7266,-2.8442,-19.5612,-16.4074,-17.8881,-7.9933,-10.7618,,-11.7763,-11.6406,,-11.8401,-11.5197,-10.6508,-17.0290,-29.0346,-31.6173,-12.7500,-21.2826,-18.4147,,-1.2000,-2.1080,-0.0380,-11.4906
0.7600,-23.4540,-21.8100,-21.8020,-21.4420,-24.3784,-22.5200,-22.9873,-22.8912,-19.9451,-17.2800,-2.4181,-31.0440,-31.3412,-3.4746,0.0010,0.0441,,-2.8834,-3.5353,-4.5258,-5.3967,-5.0831,-12.0523,-12.2211,-19.9466,-13.6526,-3.3110,-3.5439,,-2.7589,-2.8468,-19.4026,-16.1050,-17.8347,-7.8862,-10.7703,,-11.7936,-11.6170,,-11.8181,-11.4528,-10.6275,-17.0388,-29.0273,-31.5842,-12.7500,-21.2906,-18.4252,,-1.1520,-2.1680,-0.0340,-11.4906
0.7700,-23.5120,-21.8300,-21.8540,-21.4940,-24.4279,-22.5350,-23.0079,-22.9097,-19.9797,-17.2404,-2.3120,-31.0130,-31.3213,-3.1552,0.0016,0.0326,,-2.8221,-3.5015,-4.5054,-5.2895,-5.0443,-12.0954,-12.0424,-20.0018,-13.7817,-3.3217,-3.6050,,-2.8073,-2.9908,-19.2439,-15.8025,-17.5575,-7.7608,-10.7814,,-11.7770,-11.6093,,-11.7991,-11.4249,-10.6076,-17.0487,-29.0217,-31.5545,-12.7500,-21.2987,-18.4345,,-1.1040,-2.2280,-0.0300,-11.5198
