from_surface,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,camp_vi,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,foxx2,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s2a,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,td41,td42,td51,td52,tuto_ramp
984,,,,,-19.8937,,,,,-19.5804,,,,-31.3680,-31.6548,,,,,,,,,,,,,,,,,,,,-21.8370,-21.8404,,,,,,,,,,,,-29.0307,-31.9171,,,,,,,,,,,,
985,,,,,-19.8841,,,,,-19.5799,,,,-31.3700,-31.6564,,,,,,,,,,,,,,,,,,,,-21.8389,-21.8432,,,,,,,,,,,,-29.0295,-31.9186,,,,,,,,,,,,
986,,,,,-19.8745,,,,,-19.5793,,,,-31.3720,-31.6579,,,,,,,,,,,,,,,,,,,,-21.8408,-21.8459,,,,,,,,,,,,-29.0282,-31.9202,,,,,,,,,,,,
987,,,,,-19.8649,,,,,-19.5787,,,,-31.3740,-31.6595,,,,,,,,,,,,,,,,,,,,-21.8427,-21.8487,,,,,,,,,,,,-29.0270,-31.9217,,,,,,,,,,,,
988,,,,,-19.8553,,,,,-19.5782,,,,-31.3760,-31.6611,,,,,,,,,,,,,,,,,,,,-21.8446,-21.8514,,,,,,,,,,,,-29.0257,-31.9232,,,,,,,,,,,,
989,,,,,-19.8457,,,,,-19.5776,,,,-31.3780,-31.6626,,,,,,,,,,,,,,,,,,,,-21.8465,-21.8542,,,,,,,,,,,,-29.0245,-31.9247,,,,,,,,,,,,
990,,,,,-19.8361,,,,,-19.5770,,,,-31.3800,-31.6642,,,,,,,,,,,,,,,,,,,,-21.8484,-21.8569,,,,,,,,,,,,-29.0232,-31.9263,,,,,,,,,,,,
991,,,,,-19.8265,,,,,-19.5765,,,,-31.3820,-31.6658,,,,,,,,,,,,,,,,,,,,-21.8504,-21.8597,,,,,,,,,,,,-29.0220,-31.9278,,,,,,,,,,,,
992,,,,,-19.8031,,,,,-19.5759,,,,-31.3840,-31.6673,,,,,,,,,,,,,,,,,,,,-21.8523,-21.8625,,,,,,,,,,,,-29.0207,-31.9293,,,,,,,,,,,,
993,,,,,-19.7797,,,,,-19.5753,,,,-31.3860,-31.6689,,,,,,,,,,,,,,,,,,,,-21.8542,-21.8652,,,,,,,,,,,,-29.0195,-31.9308,,,,,,,,,,,,
994,,,,,-19.7562,,,,,-19.5748,,,,-31.3880,-31.6705,,,,,,,,,,,,,,,,,,,,-21.8561,-21.8680,,,,,,,,,,,,-29.0183,-31.9323,,,,,,,,,,,,
995,,,,,-19.7328,,,,,-19.5742,,,,-31.3900,-31.6720,,,,,,,,,,,,,,,,,,,,-21.8580,-21.8707,,,,,,,,,,,,-29.0170,-31.9339,,,,,,,,,,,,
996,,,,,-19.7094,,,,,-19.5736,,,,-31.3920,-31.6736,,,,,,,,,,,,,,,,,,,,-21.8599,-21.8735,,,,,,,,,,,,-29.0158,-31.9354,,,,,,,,,,,,
997,,,,,-19.6860,,,,,-19.5731,,,,-31.3940,-31.6752,,,,,,,,,,,,,,,,,,,,-21.8618,-21.8763,,,,,,,,,,,,-29.0145,-31.9369,,,,,,,,,,,,
998,,,,,-19.6626,,,,,-19.5725,,,,-31.3960,-31.6767,,,,,,,,,,,,,,,,,,,,-21.8637,-21.8790,,,,,,,,,,,,-29.0133,-31.9384,,,,,,,,,,,,
999,,,,,-19.6392,,,,,-19.5719,,,,-31.3980,-31.6783,,,,,,,,,,,,,,,,,,,,-21.8656,-21.8818,,,,,,,,,,,,-29.0120,-31.9400,,,,,,,,,,,,
1000,,,,,-19.6157,,,,,-19.5714,,,,-31.4000,-31.6798,,,,,,,,,,,,,,,,,,,,-21.8675,-21.8845,,,,,,,,,,,,-29.0108,-31.9415,,,,,,,,,,,,
1001,,,,,-19.5923,,,,,-19.5708,,,,-31.4020,-31.6814,,,,,,,,,,,,,,,,,,,,-21.8695,-21.8873,,,,,,,,,,,,-29.0095,-31.9430,,,,,,,,,,,,
1002,,,,,-19.5689,,,,,-19.5702,,,,-31.4040,-31.6830,,,,,,,,,,,,,,,,,,,,-21.8714,-21.8901,,,,,,,,,,,,-29.0083,-31.9445,,,,,,,,,,,,
1003,,,,,-19.5455,,,,,-19.5697,,,,-31.4060,-31.6845,,,,,,,,,,,,,,,,,,,,-21.8733,-21.8928,,,,,,,,,,,,-29.0070,-31.9460,,,,,,,,,,,,
1004,,,,,-19.5221,,,,,-19.5691,,,,-31.4080,-31.6861,,,,,,,,,,,,,,,,,,,,-21.8752,-21.8956,,,,,,,,,,,,-29.0058,-31.9476,,,,,,,,,,,,
1005,,,,,-19.5062,,,,,-19.5685,,,,-31.4100,-31.6877,,,,,,,,,,,,,,,,,,,,-21.8771,-21.8983,,,,,,,,,,,,-29.0045,-31.9491,,,,,,,,,,,,
1006,,,,,-19.4904,,,,,-19.5680,,,,-31.4120,-31.6892,,,,,,,,,,,,,,,,,,,,-21.8790,-21.9011,,,,,,,,,,,,-29.0033,-31.9506,,,,,,,,,,,,
1007,,,,,-19.4746,,,,,-19.5674,,,,-31.4140,-31.6908,,,,,,,,,,,,,,,,,,,,-21.8809,-21.9039,,,,,,,,,,,,-29.0020,-31.9521,,,,,,,,,,,,
1008,,,,,-19.4588,,,,,-19.5668,,,,-31.4160,-31.6924,,,,,,,,,,,,,,,,,,,,-21.8828,-21.9066,,,,,,,,,,,,-29.0008,-31.9537,,,,,,,,,,,,
1009,,,,,-19.4429,,,,,-19.5663,,,,-31.4180,-31.6939,,,,,,,,,,,,,,,,,,,,-21.8847,-21.9094,,,,,,,,,,,,-28.9995,-31.9552,,,,,,,,,,,,
1010,,,,,-19.4271,,,,,-19.5657,,,,-31.4200,-31.6955,,,,,,,,,,,,,,,,,,,,-21.8866,-21.9121,,,,,,,,,,,,-28.9983,-31.9567,,,,,,,,,,,,
1011,,,,,-19.4113,,,,,-19.5651,,,,-31.4220,-31.6971,,,,,,,,,,,,,,,,,,,,-21.8885,-21.9149,,,,,,,,,,,,-28.9970,-31.9582,,,,,,,,,,,,
1012,,,,,-19.3955,,,,,-19.5645,,,,-31.4240,-31.6987,,,,,,,,,,,,,,,,,,,,-21.8905,-21.9177,,,,,,,,,,,,-28.9958,-31.9597,,,,,,,,,,,,
1013,,,,,-19.3796,,,,,-19.5640,,,,-31.4260,-31.7003,,,,,,,,,,,,,,,,,,,,-21.8924,-21.9204,,,,,,,,,,,,-28.9945,-31.9613,,,,,,,,,,,,
1014,,,,,-19.3638,,,,,-19.5634,,,,-31.4280,-31.7019,,,,,,,,,,,,,,,,,,,,-21.8943,-21.9232,,,,,,,,,,,,-28.9933,-31.9628,,,,,,,,,,,,
1015,,,,,-19.3480,,,,,-19.5628,,,,-31.4300,-31.7035,,,,,,,,,,,,,,,,,,,,-21.8962,-21.9259,,,,,,,,,,,,-28.9920,-31.9643,,,,,,,,,,,,
1016,,,,,-19.3322,,,,,-19.5623,,,,-31.4320,-31.7051,,,,,,,,,,,,,,,,,,,,-21.8981,-21.9287,,,,,,,,,,,,-28.9908,-31.9658,,,,,,,,,,,,
1017,,,,,-19.3163,,,,,-19.5617,,,,-31.4340,-31.7067,,,,,,,,,,,,,,,,,,,,-21.9000,-21.9314,,,,,,,,,,,,-28.9895,-31.9674,,,,,,,,,,,,
1018,,,,,-19.3005,,,,,-19.5611,,,,-31.4360,-31.7083,,,,,,,,,,,,,,,,,,,,-21.9019,-21.9342,,,,,,,,,,,,-28.9883,-31.9689,,,,,,,,,,,,
1019,,,,,-19.2847,,,,,-19.5606,,,,-31.4380,-31.7099,,,,,,,,,,,,,,,,,,,,-21.9038,-21.9370,,,,,,,,,,,,-28.9870,-31.9704,,,,,,,,,,,,
1020,,,,,-19.2688,,,,,-19.5600,,,,-31.4400,-31.7116,,,,,,,,,,,,,,,,,,,,-21.9057,-21.9397,,,,,,,,,,,,-28.9858,-31.9719,,,,,,,,,,,,
1021,,,,,-19.2530,,,,,-19.5594,,,,-31.4420,-31.7132,,,,,,,,,,,,,,,,,,,,-21.9076,-21.9425,,,,,,,,,,,,-28.9845,-31.9735,,,,,,,,,,,,
1022,,,,,-19.2372,,,,,-19.5589,,,,-31.4440,-31.7148,,,,,,,,,,,,,,,,,,,,-21.9095,-21.9452,,,,,,,,,,,,-28.9833,-31.9750,,,,,,,,,,,,
1023,,,,,-19.2214,,,,,-19.5583,,,,-31.4460,-31.7164,,,,,,,,,,,,,,,,,,,,-21.9115,-21.9480,,,,,,,,,,,,-28.9820,-31.9765,,,,,,,,,,,,
1024,,,,,-19.2055,,,,,-19.5577,,,,-31.4480,-31.7180,,,,,,,,,,,,,,,,,,,,-21.9134,-21.9508,,,,,,,,,,,,-28.9808,-31.9780,,,,,,,,,,,,
1025,,,,,-19.1897,,,,,-19.5572,,,,-31.4500,-31.7196,,,,,,,,,,,,,,,,,,,,-21.9153,-21.9535,,,,,,,,,,,,-28.9795,-31.9795,,,,,,,,,,,,
1026,,,,,-19.1739,,,,,-19.5566,,,,-31.4520,-31.7212,,,,,,,,,,,,,,,,,,,,-21.9172,-21.9563,,,,,,,,,,,,-28.9783,-31.9811,,,,,,,,,,,,
1027,,,,,-19.1581,,,,,-19.5563,,,,-31.4540,-31.7228,,,,,,,,,,,,,,,,,,,,-21.9191,-21.9590,,,,,,,,,,,,-28.9770,-31.9826,,,,,,,,,,,,
1028,,,,,-19.1415,,,,,-19.5560,,,,-31.4560,-31.7244,,,,,,,,,,,,,,,,,,,,-21.9210,-21.9618,,,,,,,,,,,,-28.9758,-31.9841,,,,,,,,,,,,
1029,,,,,-19.1250,,,,,-19.5557,,,,-31.4580,-31.7260,,,,,,,,,,,,,,,,,,,,-21.9229,-21.9646,,,,,,,,,,,,-28.9745,-31.9856,,,,,,,,,,,,
1030,,,,,-19.1084,,,,,-19.5554,,,,-31.4600,-31.7277,,,,,,,,,,,,,,,,,,,,-21.9248,-21.9673,,,,,,,,,,,,-28.9733,-31.9872,,,,,,,,,,,,
1031,,,,,-19.0919,,,,,-19.5551,,,,-31.4620,-31.7293,,,,,,,,,,,,,,,,,,,,-21.9267,-21.9701,,,,,,,,,,,,-28.9720,-31.9887,,,,,,,,,,,,
1032,,,,,-19.0753,,,,,-19.5548,,,,-31.4640,-31.7309,,,,,,,,,,,,,,,,,,,,-21.9286,-21.9728,,,,,,,,,,,,-28.9708,-31.9902,,,,,,,,,,,,
1033,,,,,-19.0588,,,,,-19.5545,,,,-31.4660,-31.7325,,,,,,,,,,,,,,,,,,,,-21.9306,-21.9756,,,,,,,,,,,,-28.9695,-31.9917,,,,,,,,,,,,
1034,,,,,-19.0423,,,,,-19.5542,,,,-31.4680,-31.7341,,,,,,,,,,,,,,,,,,,,-21.9325,-21.9784,,,,,,,,,,,,-28.9683,-31.9932,,,,,,,,,,,,
1035,,,,,-19.0257,,,,,-19.5539,,,,-31.4700,-31.7357,,,,,,,,,,,,,,,,,,,,-21.9344,-21.9811,,,,,,,,,,,,-28.9670,-31.9948,,,,,,,,,,,,
1036,,,,,-19.0092,,,,,-19.5536,,,,-31.4720,-31.7373,,,,,,,,,,,,,,,,,,,,-21.9363,-21.9839,,,,,,,,,,,,-28.9658,-31.9963,,,,,,,,,,,,
1037,,,,,-18.9926,,,,,-19.5533,,,,-31.4740,-31.7389,,,,,,,,,,,,,,,,,,,,-21.9382,-21.9866,,,,,,,,,,,,-28.9645,-31.9978,,,,,,,,,,,,
1038,,,,,-18.9761,,,,,-19.5529,,,,-31.4760,-31.7405,,,,,,,,,,,,,,,,,,,,-21.9401,-21.9894,,,,,,,,,,,,-28.9633,-31.9993,,,,,,,,,,,,
1039,,,,,-18.9595,,,,,-19.5526,,,,-31.4780,-31.7422,,,,,,,,,,,,,,,,,,,,-21.9420,-21.9921,,,,,,,,,,,,-28.9620,-32.0009,,,,,,,,,,,,
1040,,,,,-18.9430,,,,,-19.5523,,,,-31.4800,-31.7438,,,,,,,,,,,,,,,,,,,,-21.9439,-21.9949,,,,,,,,,,,,-28.9608,-32.0024,,,,,,,,,,,,
1041,,,,,-18.9264,,,,,-19.5520,,,,-31.4820,-31.7454,,,,,,,,,,,,,,,,,,,,-21.9458,-21.9977,,,,,,,,,,,,-28.9595,-32.0039,,,,,,,,,,,,
1042,,,,,-18.9099,,,,,-19.5517,,,,-31.4840,-31.7470,,,,,,,,,,,,,,,,,,,,-21.9477,-22.0004,,,,,,,,,,,,-28.9583,-32.0054,,,,,,,,,,,,
1043,,,,,-18.8933,,,,,-19.5514,,,,-31.4860,-31.7486,,,,,,,,,,,,,,,,,,,,-21.9496,-22.0032,,,,,,,,,,,,-28.9570,-32.0069,,,,,,,,,,,,
1044,,,,,-18.8768,,,,,-19.5511,,,,-31.4880,-31.7502,,,,,,,,,,,,,,,,,,,,-21.9516,-22.0059,,,,,,,,,,,,-28.9558,-32.0085,,,,,,,,,,,,
1045,,,,,-18.8603,,,,,-19.5508,,,,-31.4900,-31.7518,,,,,,,,,,,,,,,,,,,,-21.9535,-22.0087,,,,,,,,,,,,-28.9545,-32.0100,,,,,,,,,,,,
1046,,,,,-18.8437,,,,,-19.5505,,,,-31.4920,-31.7534,,,,,,,,,,,,,,,,,,,,-21.9554,-22.0115,,,,,,,,,,,,-28.9533,-32.0115,,,,,,,,,,,,
1047,,,,,-18.8272,,,,,-19.5502,,,,-31.4940,-31.7549,,,,,,,,,,,,,,,,,,,,-21.9573,-22.0142,,,,,,,,,,,,-28.9520,-32.0130,,,,,,,,,,,,
1048,,,,,-18.8106,,,,,-19.5499,,,,-31.4960,-31.7564,,,,,,,,,,,,,,,,,,,,-21.9592,-22.0170,,,,,,,,,,,,-28.9508,-32.0146,,,,,,,,,,,,
1049,,,,,-18.7941,,,,,-19.5496,,,,-31.4980,-31.7578,,,,,,,,,,,,,,,,,,,,-21.9611,-22.0197,,,,,,,,,,,,-28.9495,-32.0161,,,,,,,,,,,,
1050,,,,,-18.7767,,,,,-19.5493,,,,-31.5000,-31.7593,,,,,,,,,,,,,,,,,,,,-21.9630,-22.0225,,,,,,,,,,,,-28.9483,-32.0176,,,,,,,,,,,,
1051,,,,,-18.7594,,,,,-19.5490,,,,-31.5020,-31.7608,,,,,,,,,,,,,,,,,,,,-21.9649,-22.0253,,,,,,,,,,,,-28.9470,-32.0191,,,,,,,,,,,,
1052,,,,,-18.7421,,,,,-19.5487,,,,-31.5040,-31.7622,,,,,,,,,,,,,,,,,,,,-21.9668,-22.0280,,,,,,,,,,,,-28.9458,-32.0207,,,,,,,,,,,,
1053,,,,,-18.7247,,,,,-19.5484,,,,-31.5060,-31.7637,,,,,,,,,,,,,,,,,,,,-21.9687,-22.0308,,,,,,,,,,,,-28.9445,-32.0222,,,,,,,,,,,,
1054,,,,,-18.7074,,,,,-19.5481,,,,-31.5080,-31.7652,,,,,,,,,,,,,,,,,,,,-21.9706,-22.0335,,,,,,,,,,,,-28.9433,-32.0237,,,,,,,,,,,,
1055,,,,,-18.6901,,,,,-19.5478,,,,-31.5100,-31.7667,,,,,,,,,,,,,,,,,,,,-21.9726,-22.0363,,,,,,,,,,,,-28.9420,-32.0252,,,,,,,,,,,,
1056,,,,,-18.6727,,,,,-19.5474,,,,-31.5120,-31.7681,,,,,,,,,,,,,,,,,,,,-21.9745,-22.0391,,,,,,,,,,,,-28.9408,-32.0267,,,,,,,,,,,,
1057,,,,,-18.6554,,,,,-19.5471,,,,-31.5140,-31.7696,,,,,,,,,,,,,,,,,,,,-21.9764,-22.0418,,,,,,,,,,,,-28.9395,-32.0283,,,,,,,,,,,,
1058,,,,,-18.6381,,,,,-19.5468,,,,-31.5160,-31.7711,,,,,,,,,,,,,,,,,,,,-21.9783,-22.0446,,,,,,,,,,,,-28.9383,-32.0298,,,,,,,,,,,,
1059,,,,,-18.6207,,,,,-19.5465,,,,-31.5180,-31.7725,,,,,,,,,,,,,,,,,,,,-21.9802,-22.0473,,,,,,,,,,,,-28.9370,-32.0313,,,,,,,,,,,,
1060,,,,,-18.6034,,,,,-19.5462,,,,-31.5200,-31.7740,,,,,,,,,,,,,,,,,,,,-21.9821,-22.0501,,,,,,,,,,,,-28.9358,-32.0328,,,,,,,,,,,,
1061,,,,,-18.5861,,,,,-19.5459,,,,-31.5220,-31.7755,,,,,,,,,,,,,,,,,,,,-21.9840,-22.0529,,,,,,,,,,,,-28.9345,-32.0344,,,,,,,,,,,,
1062,,,,,-18.5687,,,,,-19.5456,,,,-31.5240,-31.7769,,,,,,,,,,,,,,,,,,,,-21.9859,-22.0556,,,,,,,,,,,,-28.9333,-32.0359,,,,,,,,,,,,
1063,,,,,-18.5514,,,,,-19.5453,,,,-31.5260,-31.7784,,,,,,,,,,,,,,,,,,,,-21.9878,-22.0584,,,,,,,,,,,,-28.9320,-32.0374,,,,,,,,,,,,
1064,,,,,-18.5341,,,,,-19.5444,,,,-31.5280,-31.7799,,,,,,,,,,,,,,,,,,,,-21.9897,-22.0611,,,,,,,,,,,,-28.9308,-32.0389,,,,,,,,,,,,
1065,,,,,-18.5167,,,,,-19.5435,,,,-31.5300,-31.7814,,,,,,,,,,,,,,,,,,,,-21.9916,-22.0639,,,,,,,,,,,,-28.9295,-32.0404,,,,,,,,,,,,
1066,,,,,-18.4994,,,,,-19.5426,,,,-31.5320,-31.7828,,,,,,,,,,,,,,,,,,,,-21.9936,-22.0666,,,,,,,,,,,,-28.9283,-32.0420,,,,,,,,,,,,
1067,,,,,-18.4821,,,,,-19.5417,,,,-31.5340,-31.7843,,,,,,,,,,,,,,,,,,,,-21.9955,-22.0694,,,,,,,,,,,,-28.9259,-32.0435,,,,,,,,,,,,
1068,,,,,-18.4647,,,,,-19.5408,,,,-31.5360,-31.7858,,,,,,,,,,,,,,,,,,,,-21.9974,-22.0722,,,,,,,,,,,,-28.9236,-32.0450,,,,,,,,,,,,
1069,,,,,-18.4474,,,,,-19.5399,,,,-31.5380,-31.7872,,,,,,,,,,,,,,,,,,,,-21.9993,-22.0749,,,,,,,,,,,,-28.9213,-32.0465,,,,,,,,,,,,
1070,,,,,-18.4301,,,,,-19.5390,,,,-31.5400,-31.7887,,,,,,,,,,,,,,,,,,,,-22.0012,-22.0777,,,,,,,,,,,,-28.9189,-32.0481,,,,,,,,,,,,
1071,,,,,-18.4127,,,,,-19.5381,,,,-31.5420,-31.7902,,,,,,,,,,,,,,,,,,,,-22.0031,-22.0804,,,,,,,,,,,,-28.9166,-32.0496,,,,,,,,,,,,
1072,,,,,-18.3954,,,,,-19.5372,,,,-31.5440,-31.7916,,,,,,,,,,,,,,,,,,,,-22.0050,-22.0832,,,,,,,,,,,,-28.9143,-32.0511,,,,,,,,,,,,
1073,,,,,-18.3781,,,,,-19.5363,,,,-31.5460,-31.7931,,,,,,,,,,,,,,,,,,,,-22.0069,-22.0860,,,,,,,,,,,,-28.9119,-32.0526,,,,,,,,,,,,
1074,,,,,-18.3607,,,,,-19.5354,,,,-31.5480,-31.7946,,,,,,,,,,,,,,,,,,,,-22.0088,-22.0887,,,,,,,,,,,,-28.9096,-32.0541,,,,,,,,,,,,
1075,,,,,-18.3434,,,,,-19.5345,,,,-31.5500,-31.7960,,,,,,,,,,,,,,,,,,,,-22.0107,-22.0915,,,,,,,,,,,,-28.9072,-32.0557,,,,,,,,,,,,
1076,,,,,-18.3261,,,,,-19.5336,,,,-31.5520,-31.7975,,,,,,,,,,,,,,,,,,,,-22.0127,-22.0942,,,,,,,,,,,,-28.9049,-32.0572,,,,,,,,,,,,
1077,,,,,-18.3087,,,,,-19.5327,,,,-31.5540,-31.7990,,,,,,,,,,,,,,,,,,,,-22.0146,-22.0970,,,,,,,,,,,,-28.9026,-32.0587,,,,,,,,,,,,
1078,,,,,-18.2914,,,,,-19.5318,,,,-31.5560,-31.8005,,,,,,,,,,,,,,,,,,,,-22.0165,-22.0998,,,,,,,,,,,,-28.9002,-32.0602,,,,,,,,,,,,
1079,,,,,-18.2741,,,,,-19.5309,,,,-31.5580,-31.8019,,,,,,,,,,,,,,,,,,,,-22.0184,-22.1025,,,,,,,,,,,,-28.8979,-32.0618,,,,,,,,,,,,
1080,,,,,-18.2567,,,,,-19.5300,,,,-31.5600,-31.8034,,,,,,,,,,,,,,,,,,,,-22.0203,-22.1053,,,,,,,,,,,,-28.8956,-32.0633,,,,,,,,,,,,
1081,,,,,-18.2394,,,,,-19.5291,,,,-31.5620,-31.8049,,,,,,,,,,,,,,,,,,,,-22.0222,-22.1080,,,,,,,,,,,,-28.8932,-32.0648,,,,,,,,,,,,
1082,,,,,-18.2221,,,,,-19.5282,,,,-31.5640,-31.8063,,,,,,,,,,,,,,,,,,,,-22.0241,-22.1108,,,,,,,,,,,,-28.8909,-32.0663,,,,,,,,,,,,
1083,,,,,-18.2047,,,,,-19.5273,,,,-31.5660,-31.8078,,,,,,,,,,,,,,,,,,,,-22.0260,-22.1136,,,,,,,,,,,,-28.8886,-32.0679,,,,,,,,,,,,
1084,,,,,-18.1874,,,,,-19.5264,,,,-31.5680,-31.8093,,,,,,,,,,,,,,,,,,,,-22.0279,-22.1163,,,,,,,,,,,,-28.8862,-32.0694,,,,,,,,,,,,
1085,,,,,-18.1701,,,,,-19.5255,,,,-31.5700,-31.8107,,,,,,,,,,,,,,,,,,,,-22.0298,-22.1191,,,,,,,,,,,,-28.8839,-32.0703,,,,,,,,,,,,
1086,,,,,-18.1527,,,,,-19.5246,,,,-31.5720,-31.8132,,,,,,,,,,,,,,,,,,,,-22.0317,-22.1218,,,,,,,,,,,,-28.8816,-32.0713,,,,,,,,,,,,
1087,,,,,-18.1354,,,,,-19.5237,,,,-31.5740,-31.8156,,,,,,,,,,,,,,,,,,,,-22.0337,-22.1246,,,,,,,,,,,,-28.8792,-32.0722,,,,,,,,,,,,
1088,,,,,-18.1181,,,,,-19.5228,,,,-31.5760,-31.8181,,,,,,,,,,,,,,,,,,,,-22.0356,-22.1274,,,,,,,,,,,,-28.8769,-32.0732,,,,,,,,,,,,
1089,,,,,-18.1007,,,,,-19.5219,,,,-31.5780,-31.8205,,,,,,,,,,,,,,,,,,,,-22.0375,-22.1301,,,,,,,,,,,,-28.8746,-32.0741,,,,,,,,,,,,
1090,,,,,-18.0834,,,,,-19.5210,,,,-31.5800,-31.8229,,,,,,,,,,,,,,,,,,,,-22.0394,-22.1329,,,,,,,,,,,,-28.8722,-32.0751,,,,,,,,,,,,
1091,,,,,-18.0661,,,,,-19.5201,,,,-31.5820,-31.8254,,,,,,,,,,,,,,,,,,,,-22.0413,-22.1356,,,,,,,,,,,,-28.8699,-32.0760,,,,,,,,,,,,
1092,,,,,-18.0495,,,,,-19.5192,,,,-31.5840,-31.8278,,,,,,,,,,,,,,,,,,,,-22.0432,-22.1384,,,,,,,,,,,,-28.8676,-32.0770,,,,,,,,,,,,
1093,,,,,-18.0330,,,,,-19.5187,,,,-31.5860,-31.8302,,,,,,,,,,,,,,,,,,,,-22.0451,-22.1411,,,,,,,,,,,,-28.8652,-32.0779,,,,,,,,,,,,
1094,,,,,-18.0164,,,,,-19.5182,,,,-31.5880,-31.8327,,,,,,,,,,,,,,,,,,,,-22.0470,-22.1439,,,,,,,,,,,,-28.8629,-32.0789,,,,,,,,,,,,
1095,,,,,-17.9999,,,,,-19.5177,,,,-31.5900,-31.8351,,,,,,,,,,,,,,,,,,,,-22.0489,-22.1467,,,,,,,,,,,,-28.8606,-32.0798,,,,,,,,,,,,
1096,,,,,-17.9834,,,,,-19.5172,,,,-31.5920,-31.8375,,,,,,,,,,,,,,,,,,,,-22.0508,-22.1494,,,,,,,,,,,,-28.8582,-32.0808,,,,,,,,,,,,
1097,,,,,-17.9668,,,,,-19.5166,,,,-31.5940,-31.8400,,,,,,,,,,,,,,,,,,,,-22.0527,-22.1522,,,,,,,,,,,,-28.8559,-32.0817,,,,,,,,,,,,
1098,,,,,-17.9503,,,,,-19.5161,,,,-31.5960,-31.8424,,,,,,,,,,,,,,,,,,,,-22.0547,-22.1549,,,,,,,,,,,,-28.8536,-32.0827,,,,,,,,,,,,
1099,,,,,-17.9337,,,,,-19.5156,,,,-31.5980,-31.8448,,,,,,,,,,,,,,,,,,,,-22.0566,-22.1493,,,,,,,,,,,,-28.8512,-32.0836,,,,,,,,,,,,
1100,,,,,-17.9172,,,,,-19.5151,,,,-31.6000,-31.8473,,,,,,,,,,,,,,,,,,,,-22.0585,-22.1436,,,,,,,,,,,,-28.8489,-32.0846,,,,,,,,,,,,
1101,,,,,-17.9006,,,,,-19.5146,,,,-31.6010,-31.8497,,,,,,,,,,,,,,,,,,,,-22.0604,-22.1380,,,,,,,,,,,,-28.8465,-32.0855,,,,,,,,,,,,
1102,,,,,-17.8841,,,,,-19.5141,,,,-31.6020,-31.8521,,,,,,,,,,,,,,,,,,,,-22.0623,-22.1323,,,,,,,,,,,,-28.8442,-32.0865,,,,,,,,,,,,
1103,,,,,-17.8675,,,,,-19.5135,,,,-31.6030,-31.8546,,,,,,,,,,,,,,,,,,,,-22.0642,-22.1266,,,,,,,,,,,,-28.8419,-32.0874,,,,,,,,,,,,
1104,,,,,-17.8510,,,,,-19.5130,,,,-31.6040,-31.8570,,,,,,,,,,,,,,,,,,,,-22.0661,-22.1210,,,,,,,,,,,,-28.8395,-32.0884,,,,,,,,,,,,
1105,,,,,-17.8344,,,,,-19.5125,,,,-31.6050,-31.8594,,,,,,,,,,,,,,,,,,,,-22.0680,-22.1153,,,,,,,,,,,,-28.8372,-32.0893,,,,,,,,,,,,
1106,,,,,-17.8179,,,,,-19.5120,,,,-31.6060,-31.8619,,,,,,,,,,,,,,,,,,,,-22.0699,-22.1097,,,,,,,,,,,,-28.8349,-32.0903,,,,,,,,,,,,
1107,,,,,-17.8014,,,,,-19.5115,,,,-31.6070,-31.8643,,,,,,,,,,,,,,,,,,,,-22.0718,-22.1040,,,,,,,,,,,,-28.8325,-32.0912,,,,,,,,,,,,
1108,,,,,-17.7848,,,,,-19.5109,,,,-31.6080,-31.8668,,,,,,,,,,,,,,,,,,,,-22.0737,-22.0983,,,,,,,,,,,,-28.8302,-32.0922,,,,,,,,,,,,
1109,,,,,-17.7683,,,,,-19.5104,,,,-31.6090,-31.8692,,,,,,,,,,,,,,,,,,,,-22.0757,-22.0927,,,,,,,,,,,,-28.8279,-32.0931,,,,,,,,,,,,
1110,,,,,-17.7517,,,,,-19.5099,,,,-31.6100,-31.8716,,,,,,,,,,,,,,,,,,,,-22.0776,-22.0870,,,,,,,,,,,,-28.8255,-32.0941,,,,,,,,,,,,
1111,,,,,-17.7352,,,,,-19.5094,,,,-31.6110,-31.8741,,,,,,,,,,,,,,,,,,,,-22.0795,-22.0813,,,,,,,,,,,,-28.8232,-32.0950,,,,,,,,,,,,
1112,,,,,-17.7186,,,,,-19.5089,,,,-31.6120,-31.8765,,,,,,,,,,,,,,,,,,,,-22.0814,-22.0757,,,,,,,,,,,,-28.8209,-32.0960,,,,,,,,,,,,
1113,,,,,-17.7021,,,,,-19.5084,,,,-31.6130,-31.8789,,,,,,,,,,,,,,,,,,,,-22.0833,-22.0700,,,,,,,,,,,,-28.8185,-32.0969,,,,,,,,,,,,
1114,,,,,-17.6855,,,,,-19.5078,,,,-31.6140,-31.8814,,,,,,,,,,,,,,,,,,,,-22.0852,-22.0644,,,,,,,,,,,,-28.8162,-32.0979,,,,,,,,,,,,
