from_surface,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,camp_vi,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,foxx2,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s2a,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,m2020_14n,m2020_14sa,m2020_14sb,m2020_14w,m2020_15ca,m2020_15cb,m2020_15e,m2020_15n,m2020_15s,meighan,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,td41,td42,td51,td52,tuto_ramp
29,-24.1900,-21.9400,-21.9320,-21.4940,-24.2733,-13.3680,-22.7520,-23.1254,-23.0017,,,-1.5027,-2.9584,,,-1.2239,0.0014,0.0095,-2.5674,,-5.1905,-4.5293,-5.0201,-6.0305,-4.4515,-9.5035,,-20.7833,-15.8447,-3.2179,-3.5439,-3.6660,-3.9844,-4.0209,-9.0994,-5.9588,-7.1775,,,,,,,,,,-17.0388,,,-12.6560,-21.2700,-18.6522,-24.2612,,-2.7680,-1.2600,-7.0100,-6.8200,-8.4200,-8.4600,-10.8309
30,-24.1900,-21.9100,-21.9060,-21.4680,-24.2790,-13.4200,-22.7540,-23.1307,-23.0051,,,-1.4685,-2.9130,,,-1.2109,0.0031,0.0153,-2.5177,,-5.0097,-4.3844,-4.9252,-5.9370,-4.4266,-9.5062,,-20.7695,-15.7431,-3.2001,-3.4828,-3.6333,-3.9579,-3.9925,-9.1428,-6.0176,-7.2798,,,,,,,,,,-17.0290,,,-12.6700,-21.2803,-18.6490,-24.2783,,-2.7520,-1.2000,-6.9250,-6.7400,-8.4000,-8.4500,-10.8148
31,-24.1900,-21.8800,-21.8800,-21.4420,-24.2847,-13.4680,-22.7560,-23.1360,-23.0084,,,-1.4342,-2.8676,,,-1.1979,0.0048,0.0211,-2.4680,,-4.8289,-4.2396,-4.8790,-5.8436,-4.4017,-9.5089,,-20.7558,-15.6416,-3.1822,-3.4217,-3.6007,-3.9314,-3.9642,-9.1863,-6.0764,-7.3822,,,,,,,,,,-17.0201,,,-12.6780,-21.2821,-18.6430,-24.2954,,-2.7360,-1.1400,-6.8400,-6.6600,-8.3800,-8.4400,-10.7987
32,-24.1680,-21.8500,-21.8540,-21.4160,-24.2904,-13.5160,-22.7580,-23.1413,-23.0117,,,-1.3999,-2.8455,,,-1.1849,0.0065,0.0268,-2.4183,,-4.6480,-4.0948,-4.8329,-5.7502,-4.3767,-9.5116,,-20.7420,-15.5400,-3.1644,-3.3606,-3.5680,-3.9049,-3.9358,-9.2298,-6.1352,-7.4845,,,,,,,,,,-17.0113,,,-12.6860,-21.2840,-18.6370,-24.3126,,-2.7200,-1.0800,-6.7550,-6.5800,-8.3600,-8.4300,-10.7826
33,-24.1460,-21.8300,-21.8280,-21.3900,-24.2961,-13.5640,-22.7600,-23.1405,-23.0150,,,-1.3656,-2.8233,,,-1.1719,0.0082,0.0326,-2.3879,,-4.4672,-3.9500,-4.7867,-5.6568,-4.3518,-9.5143,,-20.7240,-15.4742,-3.1465,-3.2995,-3.5353,-3.8784,-3.9075,-9.2733,-6.1940,-7.5869,,,,,,,,,,-17.0024,,,-12.6940,-21.2858,-18.6310,-24.3297,,-2.7040,-1.0200,-6.6700,-6.5000,-8.3400,-8.4200,-10.7665
34,-24.1240,-21.8100,-21.8020,-21.3680,-24.3017,-13.6120,-22.7540,-23.1398,-23.0184,,,-1.3314,-2.8012,,,-1.1589,0.0098,0.0384,-2.3574,,-4.2864,-3.8052,-4.7405,-5.5633,-4.3269,-9.5170,,-20.7061,-15.4085,-3.1286,-3.2384,-3.5027,-3.8519,-3.8791,-9.3168,-6.2528,-7.6893,,,,,,,,,,-16.9935,,,-12.7020,-21.2877,-18.6250,-24.3468,,-2.6880,-0.9600,-6.5850,-6.4973,-8.3200,-8.4100,-10.7504
35,-24.1020,-21.7900,-21.7760,-21.3460,-24.3074,-13.6600,-22.7480,-23.1391,-23.0217,,,-1.2758,-2.7790,,,-1.1459,0.0115,0.0441,-2.3270,,-4.1056,-3.6603,-4.6944,-5.4699,-4.3019,-9.5197,,-20.6881,-15.3428,-3.1108,-3.1773,-3.4700,-3.8255,-3.8508,-9.3603,-6.3115,-7.7916,,,,,-10.5549,,-10.9295,-9.5516,-8.9293,-16.9846,,,-12.7100,-21.2895,-18.6190,-24.3639,,-2.6720,-0.9000,-6.5000,-6.4947,-8.3000,-8.4000,-10.7343
36,-24.0800,-21.7700,-21.7500,-21.3240,-24.3131,-13.7080,-22.7420,-23.1383,-23.0250,,,-1.2201,-2.7631,,,-1.1330,0.0132,0.0499,-2.2965,,-3.9248,-3.5155,-4.6482,-5.3765,-4.2770,-9.5224,,-20.6701,-15.2771,-3.0916,-3.1446,-3.3931,-3.7990,-3.8224,-9.4037,-6.3703,-7.8940,,,,,-10.5736,,-10.9386,-9.5935,-8.9444,-16.9757,,,-12.7180,-21.2913,-18.6132,-24.3763,,-2.6560,-0.8400,-6.4973,-6.4920,-8.3170,-8.4170,-10.7139
37,-24.0700,-21.7500,-21.7240,-21.3020,-24.3188,-13.7560,-22.7360,-23.1376,-23.0284,,,-1.1645,-2.7471,,,-1.1200,0.0149,0.0557,-2.2661,,-3.7439,-3.3707,-4.6020,-5.2831,-4.2521,-9.5251,,-20.6521,-15.2114,-3.0724,-3.1120,-3.3162,-3.7725,-3.7941,-9.4472,-6.4291,-7.9964,-4.6138,,,,-10.5924,,-10.9478,-9.6354,-8.9596,-16.9669,,,-12.7260,-21.2932,-18.6074,-24.3887,,-2.6400,-0.7800,-6.4947,-6.4893,-8.3340,-8.4340,-10.6936
38,-24.0600,-21.7220,-21.6980,-21.2800,-24.3245,-13.8040,-22.7300,-23.1368,-23.0317,,,-1.1616,-2.7312,,,-1.1070,0.0166,0.0614,-2.2356,,-3.5631,-3.2259,-4.5559,-5.1896,-4.2271,-9.5278,,-20.6342,-15.1457,-3.0532,-3.0793,-3.2393,-3.7420,-3.7657,-9.4907,-6.4879,-8.0987,-4.6360,,,,-10.6111,,-10.9569,-9.6774,-8.9747,-16.9580,,,-12.7340,-21.2950,-18.6016,-24.4011,,-2.6240,-0.7200,-6.4920,-6.4867,-8.3510,-8.4510,-10.6732
39,-24.0500,-21.6940,-21.6720,-21.2420,-24.3301,-13.8520,-22.7240,-23.1361,-23.0350,,,-1.1586,-2.7153,,,-1.0940,0.0183,0.0672,-2.2052,,-3.3823,-3.0811,-4.5097,-5.0962,-4.2213,-9.5305,,-20.6162,-15.0800,-3.0340,-3.0467,-3.1623,-3.7116,-3.7374,-9.5342,-6.5467,-8.2011,-4.6582,,,-10.9126,-10.6298,,-10.9660,-9.7193,-8.9899,-16.9522,,,-12.7420,-21.2969,-18.5958,-24.4135,,-2.6080,-0.6600,-6.4893,-6.4840,-8.3680,-8.4680,-10.6529
