from_bed,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,mcdowell_2021_14n,mcdowell_2021_14sa,mcdowell_2021_14sb,mcdowell_2021_14w,mcdowell_2021_15ca,mcdowell_2021_15cb,mcdowell_2021_15e,mcdowell_2021_15n,mcdowell_2021_15s,meighen,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
846,,,,,-23.7004,,,,-19.4137,,,-26.7967,-27.5793,,,,,,,,,,,,,,,,,,,-17.7035,-20.2946,,,,,,,,,,,,-23.9984,-24.7555,,,,,,,,
847,,,,,-23.7039,,,,-19.4156,,,-26.8126,-27.5939,,,,,,,,,,,,,,,,,,,-17.7251,-20.2864,,,,,,,,,,,,-24.0149,-24.7736,,,,,,,,
848,,,,,-23.7074,,,,-19.4175,,,-26.8284,-27.6084,,,,,,,,,,,,,,,,,,,-17.7466,-20.2783,,,,,,,,,,,,-24.0315,-24.7918,,,,,,,,
849,,,,,-23.7109,,,,-19.4194,,,-26.8443,-27.6229,,,,,,,,,,,,,,,,,,,-17.7682,-20.2702,,,,,,,,,,,,-24.0480,-24.8099,,,,,,,,
850,,,,,-23.7144,,,,-19.4213,,,-26.8601,-27.6364,,,,,,,,,,,,,,,,,,,-17.7897,-20.2620,,,,,,,,,,,,-24.1109,-24.8280,,,,,,,,
851,,,,,-23.7179,,,,-19.4232,,,-26.8759,-27.6499,,,,,,,,,,,,,,,,,,,-17.8113,-20.2539,,,,,,,,,,,,-24.1737,-24.8477,,,,,,,,
852,,,,,-23.7215,,,,-19.4251,,,-26.8917,-27.6633,,,,,,,,,,,,,,,,,,,-17.8329,-20.2458,,,,,,,,,,,,-24.2366,-24.8674,,,,,,,,
853,,,,,-23.7250,,,,-19.4271,,,-26.9076,-27.6768,,,,,,,,,,,,,,,,,,,-17.8544,-20.2376,,,,,,,,,,,,-24.2994,-24.8870,,,,,,,,
854,,,,,-23.7285,,,,-19.4290,,,-26.9234,-27.6903,,,,,,,,,,,,,,,,,,,-17.8760,-20.2295,,,,,,,,,,,,-24.3623,-24.9067,,,,,,,,
855,,,,,-23.7320,,,,-19.4309,,,-26.9392,-27.7048,,,,,,,,,,,,,,,,,,,-17.8975,-20.2213,,,,,,,,,,,,-24.3884,-24.9264,,,,,,,,
856,,,,,-23.7355,,,,-19.4328,,,-26.9549,-27.7193,,,,,,,,,,,,,,,,,,,-17.9191,-20.2132,,,,,,,,,,,,-24.4146,-24.9443,,,,,,,,
857,,,,,-23.7390,,,,-19.4343,,,-26.9705,-27.7339,,,,,,,,,,,,,,,,,,,-17.9407,-20.2051,,,,,,,,,,,,-24.4407,-24.9621,,,,,,,,
858,,,,,-23.7426,,,,-19.4358,,,-26.9862,-27.7484,,,,,,,,,,,,,,,,,,,-17.9622,-20.1969,,,,,,,,,,,,-24.4669,-24.9800,,,,,,,,
859,,,,,-23.7461,,,,-19.4373,,,-27.0018,-27.7629,,,,,,,,,,,,,,,,,,,-17.9838,-20.1888,,,,,,,,,,,,-24.4930,-24.9978,,,,,,,,
860,,,,,-23.7496,,,,-19.4388,,,-27.0175,-27.7778,,,,,,,,,,,,,,,,,,,-18.0053,-20.1807,,,,,,,,,,,,-24.5053,-25.0157,,,,,,,,
861,,,,,-23.7531,,,,-19.4402,,,-27.0330,-27.7926,,,,,,,,,,,,,,,,,,,-18.0269,-20.1725,,,,,,,,,,,,-24.5176,-25.0339,,,,,,,,
862,,,,,-23.7566,,,,-19.4417,,,-27.0484,-27.8075,,,,,,,,,,,,,,,,,,,-18.0485,-20.1644,,,,,,,,,,,,-24.5298,-25.0521,,,,,,,,
863,,,,,-23.7601,,,,-19.4432,,,-27.0639,-27.8223,,,,,,,,,,,,,,,,,,,-18.0700,-20.1563,,,,,,,,,,,,-24.5421,-25.0702,,,,,,,,
864,,,,,-23.7637,,,,-19.4447,,,-27.0793,-27.8372,,,,,,,,,,,,,,,,,,,-18.0916,-20.1481,,,,,,,,,,,,-24.5544,-25.0884,,,,,,,,
865,,,,,-23.7672,,,,-19.4462,,,-27.0948,-27.8516,,,,,,,,,,,,,,,,,,,-18.1131,-20.1400,,,,,,,,,,,,-24.5679,-25.1066,,,,,,,,
866,,,,,-23.7707,,,,-19.4477,,,-27.1100,-27.8660,,,,,,,,,,,,,,,,,,,-18.1347,-20.1319,,,,,,,,,,,,-24.5814,-25.1248,,,,,,,,
867,,,,,-23.7742,,,,-19.4492,,,-27.1252,-27.8805,,,,,,,,,,,,,,,,,,,-18.1563,-20.1237,,,,,,,,,,,,-24.5949,-25.1430,,,,,,,,
868,,,,,-23.7778,,,,-19.4507,,,-27.1404,-27.8949,,,,,,,,,,,,,,,,,,,-18.1778,-20.1156,,,,,,,,,,,,-24.6084,-25.1613,,,,,,,,
869,,,,,-23.7813,,,,-19.4522,,,-27.1556,-27.9093,,,,,,,,,,,,,,,,,,,-18.1994,-20.1075,,,,,,,,,,,,-24.6219,-25.1795,,,,,,,,
870,,,,,-23.7849,,,,-19.4537,,,-27.1708,-27.9235,,,,,,,,,,,,,,,,,,,-18.2209,-20.0993,,,,,,,,,,,,-24.6356,-25.1977,,,,,,,,
871,,,,,-23.7884,,,,-19.4552,,,-27.1860,-27.9377,,,,,,,,,,,,,,,,,,,-18.2425,-20.0912,,,,,,,,,,,,-24.6493,-25.2159,,,,,,,,
872,,,,,-23.7920,,,,-19.4567,,,-27.2011,-27.9520,,,,,,,,,,,,,,,,,,,-18.2641,-20.0831,,,,,,,,,,,,-24.6629,-25.2342,,,,,,,,
873,,,,,-23.7955,,,,-19.4582,,,-27.2163,-27.9662,,,,,,,,,,,,,,,,,,,-18.2811,-20.0749,,,,,,,,,,,,-24.6766,-25.2524,,,,,,,,
874,,,,,-23.7991,,,,-19.4597,,,-27.2314,-27.9804,,,,,,,,,,,,,,,,,,,-18.2981,-20.0668,,,,,,,,,,,,-24.6903,-25.2707,,,,,,,,
875,,,,,-23.8026,,,,-19.4611,,,-27.2466,-27.9938,,,,,,,,,,,,,,,,,,,-18.3152,-20.0587,,,,,,,,,,,,-24.7003,-25.2889,,,,,,,,
876,,,,,-23.8062,,,,-19.4626,,,-27.2615,-28.0073,,,,,,,,,,,,,,,,,,,-18.3322,-20.0505,,,,,,,,,,,,-24.7103,-25.3074,,,,,,,,
877,,,,,-23.8098,,,,-19.4641,,,-27.2764,-28.0207,,,,,,,,,,,,,,,,,,,-18.3493,-20.0424,,,,,,,,,,,,-24.7202,-25.3259,,,,,,,,
878,,,,,-23.8133,,,,-19.4656,,,-27.2913,-28.0342,,,,,,,,,,,,,,,,,,,-18.3663,-20.0342,,,,,,,,,,,,-24.7302,-25.3443,,,,,,,,
879,,,,,-23.8169,,,,-19.4671,,,-27.3062,-28.0476,,,,,,,,,,,,,,,,,,,-18.3833,-20.0261,,,,,,,,,,,,-24.7402,-25.3628,,,,,,,,
880,,,,,-23.8204,,,,-19.4686,,,-27.3211,-28.0611,,,,,,,,,,,,,,,,,,,-18.4004,-20.0180,,,,,,,,,,,,-24.7458,-25.3813,,,,,,,,
881,,,,,-23.8240,,,,-19.4701,,,-27.3359,-28.0747,,,,,,,,,,,,,,,,,,,-18.4174,-20.0098,,,,,,,,,,,,-24.7515,-25.3992,,,,,,,,
882,,,,,-23.8275,,,,-19.4716,,,-27.3508,-28.0882,,,,,,,,,,,,,,,,,,,-18.4344,-20.0017,,,,,,,,,,,,-24.7571,-25.4171,,,,,,,,
883,,,,,-23.8311,,,,-19.4731,,,-27.3656,-28.1018,,,,,,,,,,,,,,,,,,,-18.4515,-19.9936,,,,,,,,,,,,-24.7628,-25.4351,,,,,,,,
884,,,,,-23.8346,,,,-19.4746,,,-27.3805,-28.1153,,,,,,,,,,,,,,,,,,,-18.4685,-19.9854,,,,,,,,,,,,-24.7684,-25.4530,,,,,,,,
885,,,,,-23.8382,,,,-19.4761,,,-27.3953,-28.1297,,,,,,,,,,,,,,,,,,,-18.4856,-19.9773,,,,,,,,,,,,-24.7724,-25.4709,,,,,,,,
886,,,,,-23.8417,,,,-19.4776,,,-27.4101,-28.1441,,,,,,,,,,,,,,,,,,,-18.5026,-19.9692,,,,,,,,,,,,-24.7764,-25.4899,,,,,,,,
887,,,,,-23.8453,,,,-19.4791,,,-27.4249,-28.1585,,,,,,,,,,,,,,,,,,,-18.5196,-19.9610,,,,,,,,,,,,-24.7803,-25.5089,,,,,,,,
888,,,,,-23.8489,,,,-19.4805,,,-27.4398,-28.1729,,,,,,,,,,,,,,,,,,,-18.5367,-19.9529,,,,,,,,,,,,-24.7843,-25.5278,,,,,,,,
889,,,,,-23.8524,,,,-19.4820,,,-27.4546,-28.1873,,,,,,,,,,,,,,,,,,,-18.5537,-19.9448,,,,,,,,,,,,-24.7883,-25.5468,,,,,,,,
890,,,,,-23.8560,,,,-19.4835,,,-27.4694,-28.1965,,,,,,,,,,,,,,,,,,,-18.5707,-19.9366,,,,,,,,,,,,-24.7950,-25.5658,,,,,,,,
891,,,,,-23.8595,,,,-19.4843,,,-27.4841,-28.2057,,,,,,,,,,,,,,,,,,,-18.5878,-19.9285,,,,,,,,,,,,-24.8017,-25.5828,,,,,,,,
892,,,,,-23.8631,,,,-19.4850,,,-27.4989,-28.2149,,,,,,,,,,,,,,,,,,,-18.6048,-19.9204,,,,,,,,,,,,-24.8083,-25.5997,,,,,,,,
893,,,,,-23.8666,,,,-19.4858,,,-27.5136,-28.2241,,,,,,,,,,,,,,,,,,,-18.6219,-19.9122,,,,,,,,,,,,-24.8150,-25.6167,,,,,,,,
894,,,,,-23.8702,,,,-19.4866,,,-27.5284,-28.2333,,,,,,,,,,,,,,,,,,,-18.6389,-19.9041,,,,,,,,,,,,-24.8217,-25.6336,,,,,,,,
895,,,,,-23.8737,,,,-19.4873,,,-27.5431,-28.2530,,,,,,,,,,,,,,,,,,,-18.6559,-19.8960,,,,,,,,,,,,-24.8309,-25.6506,,,,,,,,
896,,,,,-23.8773,,,,-19.4881,,,-27.5577,-28.2727,,,,,,,,,,,,,,,,,,,-18.6730,-19.8878,,,,,,,,,,,,-24.8400,-25.6683,,,,,,,,
897,,,,,-23.8808,,,,-19.4888,,,-27.5723,-28.2923,,,,,,,,,,,,,,,,,,,-18.6900,-19.8797,,,,,,,,,,,,-24.8492,-25.6860,,,,,,,,
898,,,,,-23.8844,,,,-19.4896,,,-27.5870,-28.3120,,,,,,,,,,,,,,,,,,,-18.7071,-19.8715,,,,,,,,,,,,-24.8583,-25.7037,,,,,,,,
899,,,,,-23.8880,,,,-19.4903,,,-27.6016,-28.3317,,,,,,,,,,,,,,,,,,,-18.7241,-19.8634,,,,,,,,,,,,-24.8675,-25.7214,,,,,,,,
900,,,,,-23.8915,,,,-19.4911,,,-27.6162,-28.3482,,,,,,,,,,,,,,,,,,,-18.7411,-19.8553,,,,,,,,,,,,-24.8748,-25.7391,,,,,,,,
901,,,,,-23.8951,,,,-19.4919,,,-27.6307,-28.3646,,,,,,,,,,,,,,,,,,,-18.7582,-19.8471,,,,,,,,,,,,-24.8820,-25.7574,,,,,,,,
902,,,,,-23.8986,,,,-19.4926,,,-27.6452,-28.3811,,,,,,,,,,,,,,,,,,,-18.7752,-19.8390,,,,,,,,,,,,-24.8893,-25.7758,,,,,,,,
903,,,,,-23.9022,,,,-19.4934,,,-27.6596,-28.3975,,,,,,,,,,,,,,,,,,,-18.7922,-19.8309,,,,,,,,,,,,-24.8965,-25.7941,,,,,,,,
904,,,,,-23.9057,,,,-19.4941,,,-27.6741,-28.4140,,,,,,,,,,,,,,,,,,,-18.8093,-19.8227,,,,,,,,,,,,-24.9038,-25.8125,,,,,,,,
905,,,,,-23.9093,,,,-19.4949,,,-27.6886,-28.4252,,,,,,,,,,,,,,,,,,,-18.8263,-19.8146,,,,,,,,,,,,-24.9043,-25.8308,,,,,,,,
906,,,,,-23.9128,,,,-19.4956,,,-27.7029,-28.4365,,,,,,,,,,,,,,,,,,,-18.8434,-19.8065,,,,,,,,,,,,-24.9048,-25.8465,,,,,,,,
907,,,,,-23.9164,,,,-19.4964,,,-27.7172,-28.4477,,,,,,,,,,,,,,,,,,,-18.8604,-19.7983,,,,,,,,,,,,-24.9054,-25.8622,,,,,,,,
908,,,,,-23.9200,,,,-19.4972,,,-27.7314,-28.4590,,,,,,,,,,,,,,,,,,,-18.8774,-19.7875,,,,,,,,,,,,-24.9059,-25.8779,,,,,,,,
909,,,,,-23.9235,,,,-19.4979,,,-27.7457,-28.4702,,,,,,,,,,,,,,,,,,,-18.8945,-19.7766,,,,,,,,,,,,-24.9064,-25.8936,,,,,,,,
910,,,,,-23.9271,,,,-19.4987,,,-27.7600,-28.4827,,,,,,,,,,,,,,,,,,,-18.9115,-19.7657,,,,,,,,,,,,-24.9201,-25.9093,,,,,,,,
911,,,,,-23.9306,,,,-19.4994,,,-27.7741,-28.4953,,,,,,,,,,,,,,,,,,,-18.9285,-19.7549,,,,,,,,,,,,-24.9337,-25.9280,,,,,,,,
912,,,,,-23.9342,,,,-19.5002,,,-27.7883,-28.5078,,,,,,,,,,,,,,,,,,,-18.9456,-19.7440,,,,,,,,,,,,-24.9474,-25.9467,,,,,,,,
913,,,,,-23.9377,,,,-19.5009,,,-27.8024,-28.5204,,,,,,,,,,,,,,,,,,,-18.9626,-19.7331,,,,,,,,,,,,-24.9610,-25.9654,,,,,,,,
914,,,,,-23.9413,,,,-19.5017,,,-27.8166,-28.5329,,,,,,,,,,,,,,,,,,,-18.9797,-19.7223,,,,,,,,,,,,-24.9747,-25.9841,,,,,,,,
915,,,,,-23.9451,,,,-19.5025,,,-27.8307,-28.5456,,,,,,,,,,,,,,,,,,,-18.9967,-19.7114,,,,,,,,,,,,-24.9770,-26.0028,,,,,,,,
916,,,,,-23.9489,,,,-19.5032,,,-27.8448,-28.5582,,,,,,,,,,,,,,,,,,,-19.0137,-19.7005,,,,,,,,,,,,-24.9793,-26.0202,,,,,,,,
917,,,,,-23.9527,,,,-19.5040,,,-27.8589,-28.5709,,,,,,,,,,,,,,,,,,,-19.0308,-19.6896,,,,,,,,,,,,-24.9816,-26.0375,,,,,,,,
918,,,,,-23.9565,,,,-19.5047,,,-27.8729,-28.5835,,,,,,,,,,,,,,,,,,,-19.0478,-19.6788,,,,,,,,,,,,-24.9839,-26.0549,,,,,,,,
919,,,,,-23.9604,,,,-19.5053,,,-27.8870,-28.5962,,,,,,,,,,,,,,,,,,,-19.0648,-19.6679,,,,,,,,,,,,-24.9862,-26.0722,,,,,,,,
920,,,,,-23.9642,,,,-19.5058,,,-27.9011,-28.6090,,,,,,,,,,,,,,,,,,,-19.0819,-19.6570,,,,,,,,,,,,-25.0138,-26.0896,,,,,,,,
921,,,,,-23.9680,,,,-19.5063,,,-27.9151,-28.6217,,,,,,,,,,,,,,,,,,,-19.0989,-19.6462,,,,,,,,,,,,-25.0414,-26.1051,,,,,,,,
922,,,,,-23.9718,,,,-19.5068,,,-27.9291,-28.6345,,,,,,,,,,,,,,,,,,,-19.1160,-19.6353,,,,,,,,,,,,-25.0690,-26.1205,,,,,,,,
923,,,,,-23.9756,,,,-19.5073,,,-27.9432,-28.6472,,,,,,,,,,,,,,,,,,,-19.1330,-19.6244,,,,,,,,,,,,-25.0966,-26.1360,,,,,,,,
924,,,,,-23.9795,,,,-19.5078,,,-27.9572,-28.6600,,,,,,,,,,,,,,,,,,,-19.1500,-19.6136,,,,,,,,,,,,-25.1242,-26.1514,,,,,,,,
925,,,,,-23.9833,,,,-19.5084,,,-27.9712,-28.6732,,,,,,,,,,,,,,,,,,,-19.1671,-19.6027,,,,,,,,,,,,-25.1666,-26.1669,,,,,,,,
926,,,,,-23.9871,,,,-19.5089,,,-27.9851,-28.6864,,,,,,,,,,,,,,,,,,,-19.1841,-19.5918,,,,,,,,,,,,-25.2089,-26.1840,,,,,,,,
927,,,,,-23.9909,,,,-19.5094,,,-27.9990,-28.6996,,,,,,,,,,,,,,,,,,,-19.2011,-19.5810,,,,,,,,,,,,-25.2513,-26.2011,,,,,,,,
928,,,,,-23.9947,,,,-19.5099,,,-28.0128,-28.7128,,,,,,,,,,,,,,,,,,,-19.2182,-19.5701,,,,,,,,,,,,-25.2936,-26.2181,,,,,,,,
929,,,,,-23.9985,,,,-19.5104,,,-28.0267,-28.7260,,,,,,,,,,,,,,,,,,,-19.2352,-19.5592,,,,,,,,,,,,-25.3360,-26.2352,,,,,,,,
930,,,,,-24.0024,,,,-19.5109,,,-28.0406,-28.7380,,,,,,,,,,,,,,,,,,,-19.2523,-19.5484,,,,,,,,,,,,-25.3595,-26.2523,,,,,,,,
931,,,,,-24.0062,,,,-19.5115,,,-28.0544,-28.7500,,,,,,,,,,,,,,,,,,,-19.2693,-19.5375,,,,,,,,,,,,-25.3830,-26.2690,,,,,,,,
932,,,,,-24.0100,,,,-19.5120,,,-28.0681,-28.7621,,,,,,,,,,,,,,,,,,,-19.2863,-19.5266,,,,,,,,,,,,-25.4066,-26.2856,,,,,,,,
933,,,,,-24.0138,,,,-19.5125,,,-28.0819,-28.7741,,,,,,,,,,,,,,,,,,,-19.3034,-19.5158,,,,,,,,,,,,-25.4301,-26.3023,,,,,,,,
934,,,,,-24.0176,,,,-19.5130,,,-28.0956,-28.7861,,,,,,,,,,,,,,,,,,,-19.3204,-19.5049,,,,,,,,,,,,-25.4536,-26.3189,,,,,,,,
935,,,,,-24.0214,,,,-19.5135,,,-28.1094,-28.7990,,,,,,,,,,,,,,,,,,,-19.3375,-19.4940,,,,,,,,,,,,-25.4708,-26.3356,,,,,,,,
936,,,,,-24.0253,,,,-19.5141,,,-28.1231,-28.8119,,,,,,,,,,,,,,,,,,,-19.3545,-19.4831,,,,,,,,,,,,-25.4881,-26.3533,,,,,,,,
937,,,,,-24.0291,,,,-19.5146,,,-28.1368,-28.8248,,,,,,,,,,,,,,,,,,,-19.3715,-19.4723,,,,,,,,,,,,-25.5053,-26.3710,,,,,,,,
938,,,,,-24.0329,,,,-19.5151,,,-28.1504,-28.8377,,,,,,,,,,,,,,,,,,,-19.3886,-19.4614,,,,,,,,,,,,-25.5226,-26.3888,,,,,,,,
939,,,,,-24.0367,,,,-19.5156,,,-28.1641,-28.8506,,,,,,,,,,,,,,,,,,,-19.4056,-19.4505,,,,,,,,,,,,-25.5398,-26.4065,,,,,,,,
940,,,,,-24.0405,,,,-19.5161,,,-28.1778,-28.8633,,,,,,,,,,,,,,,,,,,-19.4226,-19.4397,,,,,,,,,,,,-25.5552,-26.4242,,,,,,,,
941,,,,,-24.0444,,,,-19.5166,,,-28.1913,-28.8761,,,,,,,,,,,,,,,,,,,-19.4397,-19.4288,,,,,,,,,,,,-25.5707,-26.4412,,,,,,,,
942,,,,,-24.0482,,,,-19.5172,,,-28.2049,-28.8888,,,,,,,,,,,,,,,,,,,-19.4567,-19.4179,,,,,,,,,,,,-25.5861,-26.4582,,,,,,,,
943,,,,,-24.0520,,,,-19.5177,,,-28.2184,-28.9016,,,,,,,,,,,,,,,,,,,-19.4738,-19.4071,,,,,,,,,,,,-25.6016,-26.4751,,,,,,,,
944,,,,,-24.0558,,,,-19.5182,,,-28.2320,-28.9143,,,,,,,,,,,,,,,,,,,-19.4908,-19.3962,,,,,,,,,,,,-25.6170,-26.4921,,,,,,,,
945,,,,,-24.0596,,,,-19.5187,,,-28.2455,-28.9273,,,,,,,,,,,,,,,,,,,-19.5078,-19.3853,,,,,,,,,,,,-25.6276,-26.5091,,,,,,,,
946,,,,,-24.0634,,,,-19.5192,,,-28.2589,-28.9403,,,,,,,,,,,,,,,,,,,-19.5249,-19.3745,,,,,,,,,,,,-25.6382,-26.5250,,,,,,,,
947,,,,,-24.0673,,,,-19.5201,,,-28.2723,-28.9533,,,,,,,,,,,,,,,,,,,-19.5419,-19.3636,,,,,,,,,,,,-25.6489,-26.5409,,,,,,,,
948,,,,,-24.0711,,,,-19.5210,,,-28.2857,-28.9663,,,,,,,,,,,,,,,,,,,-19.5589,-19.3527,,,,,,,,,,,,-25.6595,-26.5569,,,,,,,,
949,,,,,-24.0749,,,,-19.5219,,,-28.2991,-28.9793,,,,,,,,,,,,,,,,,,,-19.5760,-19.3419,,,,,,,,,,,,-25.6701,-26.5728,,,,,,,,
950,,,,,-24.0787,,,,-19.5228,,,-28.3125,-28.9915,,,,,,,,,,,,,,,,,,,-19.5930,-19.3310,,,,,,,,,,,,-25.6814,-26.5887,,,,,,,,
951,,,,,-24.0825,,,,-19.5237,,,-28.3258,-29.0037,,,,,,,,,,,,,,,,,,,-19.6101,-19.3201,,,,,,,,,,,,-25.6927,-26.6055,,,,,,,,
952,,,,,-24.0863,,,,-19.5246,,,-28.3391,-29.0160,,,,,,,,,,,,,,,,,,,-19.6271,-19.3092,,,,,,,,,,,,-25.7040,-26.6223,,,,,,,,
953,,,,,-24.0902,,,,-19.5255,,,-28.3524,-29.0282,,,,,,,,,,,,,,,,,,,-19.6441,-19.2984,,,,,,,,,,,,-25.7153,-26.6390,,,,,,,,
954,,,,,-24.0940,,,,-19.5264,,,-28.3657,-29.0404,,,,,,,,,,,,,,,,,,,-19.6612,-19.2875,,,,,,,,,,,,-25.7266,-26.6558,,,,,,,,
955,,,,,-24.0978,,,,-19.5273,,,-28.3790,-29.0519,,,,,,,,,,,,,,,,,,,-19.6782,-19.2766,,,,,,,,,,,,-25.7394,-26.6726,,,,,,,,
956,,,,,-24.1016,,,,-19.5282,,,-28.3921,-29.0635,,,,,,,,,,,,,,,,,,,-19.6952,-19.2658,,,,,,,,,,,,-25.7522,-26.6884,,,,,,,,
957,,,,,-24.1054,,,,-19.5291,,,-28.4052,-29.0750,,,,,,,,,,,,,,,,,,,-19.7123,-19.2549,,,,,,,,,,,,-25.7651,-26.7043,,,,,,,,
958,,,,,-24.1093,,,,-19.5300,,,-28.4183,-29.0866,,,,,,,,,,,,,,,,,,,-19.7293,-19.2440,,,,,,,,,,,,-25.7779,-26.7201,,,,,,,,
959,,,,,-24.1113,,,,-19.5309,,,-28.4314,-29.0981,,,,,,,,,,,,,,,,,,,-19.7464,-19.2332,,,,,,,,,,,,-25.7907,-26.7360,,,,,,,,
960,,,,,-24.1133,,,,-19.5318,,,-28.4445,-29.1112,,,,,,,,,,,,,,,,,,,-19.7634,-19.2223,,,,,,,,,,,,-25.8018,-26.7518,,,,,,,,
961,,,,,-24.1153,,,,-19.5327,,,-28.4574,-29.1243,,,,,,,,,,,,,,,,,,,-19.7804,-19.2114,,,,,,,,,,,,-25.8129,-26.7677,,,,,,,,
962,,,,,-24.1173,,,,-19.5336,,,-28.4702,-29.1375,,,,,,,,,,,,,,,,,,,-19.7975,-19.2006,,,,,,,,,,,,-25.8239,-26.7836,,,,,,,,
963,,,,,-24.1193,,,,-19.5345,,,-28.4831,-29.1506,,,,,,,,,,,,,,,,,,,-19.8145,-19.1897,,,,,,,,,,,,-25.8350,-26.7995,,,,,,,,
964,,,,,-24.1213,,,,-19.5354,,,-28.4959,-29.1637,,,,,,,,,,,,,,,,,,,-19.8315,-19.1788,,,,,,,,,,,,-25.8461,-26.8154,,,,,,,,
965,,,,,-24.1233,,,,-19.5363,,,-28.5088,-29.1747,,,,,,,,,,,,,,,,,,,-19.8486,-19.1680,,,,,,,,,,,,-25.8538,-26.8313,,,,,,,,
966,,,,,-24.1253,,,,-19.5372,,,-28.5215,-29.1857,,,,,,,,,,,,,,,,,,,-19.8656,-19.1571,,,,,,,,,,,,-25.8616,-26.8477,,,,,,,,
967,,,,,-24.1273,,,,-19.5381,,,-28.5342,-29.1966,,,,,,,,,,,,,,,,,,,-19.8827,-19.1462,,,,,,,,,,,,-25.8693,-26.8641,,,,,,,,
968,,,,,-24.1293,,,,-19.5390,,,-28.5470,-29.2076,,,,,,,,,,,,,,,,,,,-19.8997,-19.1353,,,,,,,,,,,,-25.8771,-26.8806,,,,,,,,
969,,,,,-24.1313,,,,-19.5399,,,-28.5597,-29.2186,,,,,,,,,,,,,,,,,,,-19.9167,-19.1245,,,,,,,,,,,,-25.8848,-26.8970,,,,,,,,
970,,,,,-24.1333,,,,-19.5408,,,-28.5724,-29.2304,,,,,,,,,,,,,,,,,,,-19.9338,-19.1136,,,,,,,,,,,,-25.8928,-26.9134,,,,,,,,
971,,,,,-24.1353,,,,-19.5417,,,-28.5851,-29.2421,,,,,,,,,,,,,,,,,,,-19.9508,-19.1027,,,,,,,,,,,,-25.9007,-26.9277,,,,,,,,
972,,,,,-24.1373,,,,-19.5426,,,-28.5979,-29.2539,,,,,,,,,,,,,,,,,,,-19.9678,-19.0919,,,,,,,,,,,,-25.9087,-26.9421,,,,,,,,
973,,,,,-24.1393,,,,-19.5435,,,-28.6106,-29.2656,,,,,,,,,,,,,,,,,,,-19.9849,-19.0810,,,,,,,,,,,,-25.9166,-26.9564,,,,,,,,
974,,,,,-24.1413,,,,-19.5444,,,-28.6234,-29.2774,,,,,,,,,,,,,,,,,,,-20.0019,-19.0701,,,,,,,,,,,,-25.9246,-26.9708,,,,,,,,
975,,,,,-24.1433,,,,-19.5453,,,-28.6361,-29.2900,,,,,,,,,,,,,,,,,,,-20.0190,-19.0593,,,,,,,,,,,,-25.9350,-26.9851,,,,,,,,
976,,,,,-24.1453,,,,-19.5456,,,-28.6488,-29.3025,,,,,,,,,,,,,,,,,,,-20.0360,-19.0484,,,,,,,,,,,,-25.9455,-27.0026,,,,,,,,
977,,,,,-24.1473,,,,-19.5459,,,-28.6615,-29.3151,,,,,,,,,,,,,,,,,,,-20.0530,-19.0375,,,,,,,,,,,,-25.9559,-27.0201,,,,,,,,
978,,,,,-24.1493,,,,-19.5462,,,-28.6742,-29.3276,,,,,,,,,,,,,,,,,,,-20.0701,-19.0267,,,,,,,,,,,,-25.9664,-27.0377,,,,,,,,
979,,,,,-24.1513,,,,-19.5465,,,-28.6869,-29.3402,,,,,,,,,,,,,,,,,,,-20.0871,-19.0158,,,,,,,,,,,,-25.9768,-27.0552,,,,,,,,
980,,,,,-24.1533,,,,-19.5468,,,-28.6996,-29.3519,,,,,,,,,,,,,,,,,,,-20.1042,-19.0049,,,,,,,,,,,,-25.9885,-27.0727,,,,,,,,
981,,,,,-24.1553,,,,-19.5471,,,-28.7122,-29.3636,,,,,,,,,,,,,,,,,,,-20.1212,-18.9941,,,,,,,,,,,,-26.0001,-27.0875,,,,,,,,
982,,,,,-24.1573,,,,-19.5474,,,-28.7248,-29.3754,,,,,,,,,,,,,,,,,,,-20.1382,-18.9832,,,,,,,,,,,,-26.0118,-27.1024,,,,,,,,
983,,,,,-24.1593,,,,-19.5478,,,-28.7374,-29.3871,,,,,,,,,,,,,,,,,,,-20.1553,-18.9723,,,,,,,,,,,,-26.0234,-27.1172,,,,,,,,
984,,,,,-24.1613,,,,-19.5481,,,-28.7500,-29.3988,,,,,,,,,,,,,,,,,,,-20.1723,-18.9615,,,,,,,,,,,,-26.0351,-27.1321,,,,,,,,
985,,,,,-24.1633,,,,-19.5484,,,-28.7626,-29.4101,,,,,,,,,,,,,,,,,,,-20.1893,-18.9506,,,,,,,,,,,,-26.0460,-27.1469,,,,,,,,
986,,,,,-24.1653,,,,-19.5487,,,-28.7749,-29.4214,,,,,,,,,,,,,,,,,,,-20.2064,-18.9397,,,,,,,,,,,,-26.0570,-27.1628,,,,,,,,
