from_bed,agassiz77,agassiz79a,agassiz79b,agassiz84,camp_century,devon_00,devon_71,devon_72,dye_3,flade_isblink,foxx1,gisp2,grip,gull,h2015_s1a,h2015_s1b,h2015_s3a,h2015_s3b,h2015_s3c,h2015_s4a,h2015_s4b,h2015_s4c,h2015_s5a,h2015_s5b,hanstausen_dome,hanstausen_hare,isua_10,isua_11,isua_12,isua_13,isua_14,jakobshavn_center,jakobshavn_left,jakobshavn_sheet,mcdowell_2021_14n,mcdowell_2021_14sa,mcdowell_2021_14sb,mcdowell_2021_14w,mcdowell_2021_15ca,mcdowell_2021_15cb,mcdowell_2021_15e,mcdowell_2021_15n,mcdowell_2021_15s,meighen,neem,ngrip,penny,pow,renland,site_ii,td1,td2,td3,tuto_ramp
70,-18.8000,-20.9100,-20.9400,-20.8000,-14.2607,,,-20.1854,-13.8036,,-2.2572,-9.8438,-10.4654,-2.0962,0.0010,-0.0081,,-0.2748,-0.2720,-0.6360,-0.4654,-0.7368,-3.0030,,-17.0671,-7.2404,-3.2537,-2.8011,-3.6333,-0.5267,-0.6530,,-5.8718,-3.7074,-3.3989,-2.7896,-2.7978,-3.2309,-2.8376,-2.6215,-4.0211,-3.7857,-3.5291,-16.8749,-5.3716,,-12.4560,-20.6208,-15.6613,,-1.7000,,-0.2800,
71,-18.8280,-20.9340,-20.9640,-20.8200,-14.2772,,,-20.2082,-13.8146,,-2.3010,-9.8685,-10.4743,-2.1484,0.0016,-0.0093,,-0.2738,-0.2714,-0.6391,-0.4702,-0.7295,-3.0376,,-17.0838,-7.3006,-3.2715,-2.8111,-3.6660,-0.5428,-0.6634,,-6.0014,-3.8643,-3.4544,-2.8452,-2.8409,-3.2678,-2.8744,-2.6646,-4.0704,-3.8413,-3.5784,-16.8823,-5.4004,,-12.4600,-20.6347,-15.6842,,-1.7200,,-0.2740,
72,-18.8560,-20.9580,-20.9880,-20.8400,-14.2937,,,-20.2310,-13.8257,,-2.3448,-9.8931,-10.4832,-2.2006,0.0022,-0.0105,,-0.2728,-0.2708,-0.6422,-0.4751,-0.7221,-3.0722,,-17.0976,-7.3608,-3.2894,-2.8210,-3.6986,-0.5590,-0.6739,,-6.1310,-4.0211,-3.5100,-2.9007,-2.8777,-3.3171,-2.9112,-2.7077,-4.1198,-3.8969,-3.6277,-16.8897,-5.4291,,-12.4640,-20.6486,-15.7072,,-1.7400,,-0.2680,
73,-18.8840,-20.9820,-21.0120,-20.8600,-14.3103,,,-20.2538,-13.8369,,-2.3886,-9.9178,-10.4921,-2.2528,0.0028,-0.0117,,-0.2718,-0.2702,-0.6453,-0.4799,-0.7147,-3.1067,,-17.1113,-7.4086,-3.3002,-2.8310,-3.7313,-0.5751,-0.6665,,-6.2607,-4.1780,-3.5656,-2.9313,-2.9146,-3.3664,-2.9481,-2.7507,-4.1691,-3.9524,-3.6771,-16.8971,-5.4579,,-12.4680,-20.6625,-15.7301,,-1.7600,,-0.2620,
74,-18.9120,-21.0060,-21.0360,-20.8800,-14.3268,,,-20.2766,-13.8480,,-2.4325,-9.9424,-10.5010,-2.3050,0.0034,-0.0130,,-0.2709,-0.2696,-0.6484,-0.4848,-0.7073,-3.1413,,-17.1250,-7.4565,-3.3110,-2.8409,-3.7640,-0.5912,-0.6592,,-6.3903,-4.3348,-3.6024,-2.9619,-2.9514,-3.4158,-2.9849,-2.7938,-4.2184,-4.0080,-3.7264,-16.9046,-5.4866,,-12.4720,-20.6764,-15.7530,,-1.7800,,-0.2560,
75,-18.9400,-21.0300,-21.0600,-20.9000,-14.3434,,,-20.2993,-13.8591,,-2.4763,-9.9671,-10.5459,-2.3572,0.0040,-0.0100,,-0.2699,-0.2690,-0.6515,-0.4896,-0.6999,-3.1759,,-17.1388,-7.5043,-3.3217,-2.8508,-3.7966,-0.6155,-0.6519,,-6.5199,-4.4917,-3.6393,-2.9925,-2.9882,-3.4651,-3.0217,-2.8369,-4.2678,-4.0636,-3.7757,-16.9120,-5.5158,,-12.4760,-20.6903,-15.7752,,-1.8000,,-0.2500,
76,-18.9700,-21.0540,-21.0840,-20.9200,-14.3599,,,-20.3221,-13.8703,,-2.5201,-9.9917,-10.5909,-2.4094,0.0046,-0.0070,,-0.2689,-0.2684,-0.6546,-0.4945,-0.6925,-3.2105,,-17.1525,-7.5522,-3.3325,-2.8835,,-0.6398,-0.6446,,-6.6495,-4.6486,-3.6761,-3.0231,-3.0251,-3.5144,-3.0711,-2.8737,-4.3108,-4.1129,-3.8188,-16.9177,-5.5449,,-12.4800,-20.7042,-15.7973,,-1.8160,,-0.2440,
77,-19.0000,-21.0780,-21.1080,-20.9400,-14.3765,,,-20.3449,-13.8814,,-2.5639,-10.0162,-10.6358,-2.4615,0.0052,-0.0041,,-0.2679,-0.2677,-0.6577,-0.4993,-0.6851,-3.2451,,-17.1662,-7.6001,-3.3433,-2.9161,,-0.6641,-0.6373,,-6.7791,-4.8054,-3.7129,-3.0537,-3.0619,-3.5638,-3.1204,-2.9106,-4.3539,-4.1623,-3.8619,-16.9235,-5.5741,,-12.4820,-20.7178,-15.8195,,-1.8320,,-0.2380,
78,-19.0300,-21.1020,-21.1320,-20.9600,-14.3930,,,-20.3677,-13.8925,,-2.6078,-10.0408,-10.6808,-2.5137,0.0058,-0.0011,,-0.2669,-0.2671,-0.6608,-0.5042,-0.6777,-3.2797,,-17.1800,-7.6479,-3.3541,-2.9488,,-0.6883,-0.6300,,-6.9087,-4.9623,-3.7498,-3.0842,-3.0987,-3.6131,-3.1698,-2.9474,-4.3970,-4.2116,-3.9050,-16.9292,-5.6032,,-12.4840,-20.7314,-15.8416,,-1.8480,,-0.2320,
79,-19.0600,-21.1260,-21.1560,-20.9800,-14.4096,,,-20.3905,-13.9037,,-2.6516,-10.0653,-10.7257,-2.5659,0.0064,0.0019,,-0.2660,-0.2665,-0.6639,-0.5090,-0.6704,-3.3143,,-17.1937,-7.6958,-3.3648,-2.9814,,-0.7126,-0.6227,,-7.0383,-5.1192,-3.7866,-3.1148,-3.1356,-3.6624,-3.2191,-2.9842,-4.4401,-4.2610,-3.9481,-16.9350,-5.6324,,-12.4860,-20.7450,-15.8638,,-1.8640,,-0.2260,
80,-19.0900,-21.1500,-21.1800,-21.0000,-14.4261,,,-20.4133,-13.9148,,-2.6954,-10.0899,-10.7444,-2.6181,0.0070,0.0048,,-0.2650,-0.2659,-0.6670,-0.5139,-0.6630,-3.3489,,-17.2075,-7.7436,-3.3756,-3.0141,,-0.7369,-0.6154,,-7.1679,-5.2760,-3.8235,-3.1454,-3.1724,-3.7118,-3.2684,-3.0211,-4.4832,-4.3103,-3.9912,-16.9407,-5.6619,,-12.4880,-20.7586,-15.8860,,-1.8800,,-0.2200,
81,-19.1200,-21.1740,-21.2000,-21.0180,-14.4427,,,-20.4361,-13.9259,,-2.7524,-10.1145,-10.7631,-2.6703,0.0076,0.0078,,-0.2640,-0.2653,-0.6701,-0.5187,-0.6556,-3.3835,,-17.2212,-7.7915,-3.3864,-3.0467,,-0.7612,-0.6081,,-7.2976,-5.4329,-3.8603,-3.1760,-3.2092,-3.7611,-3.3178,-3.0579,-4.5263,-4.3596,-4.0342,-16.9465,-5.6914,,-12.4900,-20.7722,-15.9081,,-1.8960,,-0.2140,
82,-19.1500,-21.1980,-21.2200,-21.0360,-14.4592,,,-20.4589,-13.9370,,-2.8093,-10.1391,-10.7817,-2.7225,,0.0108,,-0.2630,-0.2734,-0.6732,-0.5235,-0.6482,-3.4181,,-17.2349,-7.8394,-3.3971,-3.0793,,-0.7855,-0.6008,,-7.4272,-5.5897,-3.8971,-3.2066,-3.2398,-3.8042,-3.3671,-3.0948,-4.5693,-4.4090,-4.0773,-16.9522,-5.7210,,-12.4920,-20.7859,-15.9303,,-1.9120,,-0.2080,
83,-19.1800,-21.2220,-21.2400,-21.0540,-14.4757,-20.7300,,-20.4816,-13.9482,,-2.8663,-10.1637,-10.8004,-2.8005,,0.0137,,-0.2620,-0.2815,-0.6763,-0.5284,-0.6408,-3.4527,,-17.2487,-7.8813,-3.4363,-3.1120,,-0.8097,-0.5935,,-7.5568,-5.7466,-3.9340,-3.2434,-3.2704,-3.8473,-3.4164,-3.1316,-4.6124,-4.4583,-4.1204,-16.9580,-5.7505,,-12.4940,-20.7995,-15.9524,,-1.9280,,-0.2020,
84,-19.2100,-21.2460,-21.2600,-21.0720,-14.4923,-20.7450,,-20.5044,-13.9593,,-2.9233,-10.1883,-10.8191,-2.8785,,0.0167,,-0.2611,-0.2896,-0.6794,-0.5332,-0.6334,-3.5027,,-17.2650,-7.9233,-3.4755,-3.1446,,-0.8079,-0.5862,,-7.6864,-5.8731,-3.9895,-3.2803,-3.3010,-3.8904,-3.4658,-3.1684,-4.6555,-4.5076,-4.1635,-16.9669,-5.7800,,-12.4960,-20.8131,-15.9746,,-1.9440,,-0.1960,
85,-19.2400,-21.2700,-21.2800,-21.0900,-14.5088,-20.7600,,-20.5272,-13.9717,,-2.9802,-10.2129,-10.8376,-2.9565,,0.0196,,-0.2601,-0.2977,-0.6825,-0.5381,-0.6260,-3.5526,,-17.2813,-7.9653,-3.5146,-3.1773,,-0.8061,-0.5951,-2.4396,-7.8130,-5.9997,-4.0451,-3.3171,-3.3316,-3.9334,-3.5151,-3.2053,-4.6986,-4.5570,-4.2066,-16.9757,-5.8095,,-12.4980,-20.8267,-15.9968,,-1.9600,,-0.1900,
86,-19.2700,-21.2900,-21.3080,-21.1280,-14.5254,-20.7750,,-20.5500,-13.9842,,-3.0372,-10.2374,-10.8562,-3.0346,,0.0226,,-0.2591,-0.3058,-0.6857,-0.5429,-0.6187,-3.6026,,-17.2975,-8.0073,-3.5538,-3.2384,,-0.8043,-0.6040,-2.4597,-7.9395,-6.1262,-4.1007,-3.3539,-3.3622,-3.9765,-3.5582,-3.2483,-4.7479,-4.6063,-4.2497,-16.9846,-5.8390,,-12.5000,-20.8403,-16.0189,,-1.9760,,-0.1840,
87,-19.3000,-21.3100,-21.3360,-21.1660,-14.5419,-20.7900,-20.6325,-20.5728,-13.9966,,-3.0942,-10.2618,-10.8747,-3.1126,,0.0256,,-0.2581,-0.3139,-0.6888,-0.5478,-0.6113,-3.6526,-3.4520,-17.3138,-8.0492,-3.5929,-3.2995,,-0.8024,-0.6128,-2.4798,-8.0661,-6.2528,-4.1563,-3.3908,-3.3928,-4.0196,-3.6013,-3.2914,-4.7973,-4.6556,-4.2928,-16.9935,-5.8686,,-12.5010,-20.8530,-16.0411,,-1.9920,,-0.1780,
