Borehole ID,Place Name,Geographic Location,Ice Type,Data Reference,Data DOI,Science Reference,Science DOI,Date,Longitude [°E],Latitude [°N],Location source,Depth of top measurement [m],Depth of bottom measurement [m],Ice thickness [m],Coverage [% of thickness],Ice thickness source,"Measured from: Top, Bottom, Relative",General_Note,Temperature_note,Thickness_note,Location_note
FladeIsblink06,Flade Isblink Ice Cap,Northeast Greenland,Ice cap,D. Dalh-Jensen email,,"Lemark, A. and D. Dahl-Jensen. 2010. A study of the Flade Isblink ice cap using a simple ice flow model. Master's thesis. Niels Bohr Institute, Copenhagen University.",,2006,-15.7029,81.2926,"Colgan, 2021",80.0,420,540,63,See WIC email,T,,,,
FOXX1,FOXX,Central West Greenland,Ice sheet,"Lüthi, Martin P., Ryser, Claudia, Andrews, Lauren C., Catania, Ginny A., Funk, Martin, Hawley, Robert L., Hoffman, Matthew J., Neumann, Thomas A.: Heat sources within the Greenland Ice Sheet: dissipation, temperate paleo-firn and cryo-hydrologic warming , The Cryosphere 9(1), 245–253, 2015 ",,"Lüthi, M., C. Ryser, L. Andrews et al. 2015. Heat sources within the Greenland Ice Sheet: dissipation, temperate paleo-firn and cryo-hydrologic warming. The Cryosphere. 9: 245-253. ",10.5194/tc-9-245-2015,2011-2013 @LUTHI,-49.8803,69.4464,"Colgan, 2021",6.0,611,631,96,Martin Luthi,T,,Digitized from graphic,,
FOXX2,FOXX,Central West Greenland,Ice sheet,"Lüthi, Martin P., Ryser, Claudia, Andrews, Lauren C., Catania, Ginny A., Funk, Martin, Hawley, Robert L., Hoffman, Matthew J., Neumann, Thomas A.: Heat sources within the Greenland Ice Sheet: dissipation, temperate paleo-firn and cryo-hydrologic warming , The Cryosphere 9(1), 245–253, 2015 ",,"Lüthi, M., C. Ryser, L. Andrews et al. 2015. Heat sources within the Greenland Ice Sheet: dissipation, temperate paleo-firn and cryo-hydrologic warming. The Cryosphere. 9: 245-253. ",10.5194/tc-9-245-2015,2011-2013,-49.8803,69.4464,"Colgan, 2021",9.0,286,631,44,Martin Luthi,T,,Digitized from graphic,,
GISP2,GISP2,Central Greenland,Ice sheet,G. Clow email,,"MacGregor, J., J. Li, J. Paden et al. 2015. Radar attenuation and temperature within the Greenland Ice Sheet. Journal of Geophysical Research. 120: 983-1008. ",10.1002/2014JF003418,1996-06-02,-38.4667,72.5833,"Colgan, 2021",73.0,3053,3100,96,Hodge 1990?,T,,,,Location from Geothermal Database
GRIP,GRIP,Central Greenland,Ice sheet,G. Clow email,,"MacGregor, J., J. Li, J. Paden et al. 2015. Radar attenuation and temperature within the Greenland Ice Sheet. Journal of Geophysical Research. 120: 983-1008. ",10.1002/2014JF003418,1998,-37.64,72.58,"Vinther, 2008",41.0,3029,3029,99,Data from Gary Clow,T,,,,
GULL,GULL,Central West Greenland,Ice sheet,"Lüthi, Martin P., Ryser, Claudia, Andrews, Lauren C., Catania, Ginny A., Funk, Martin, Hawley, Robert L., Hoffman, Matthew J., Neumann, Thomas A.: Heat sources within the Greenland Ice Sheet: dissipation, temperate paleo-firn and cryo-hydrologic warming , The Cryosphere 9(1), 245–253, 2015 ",,"Lüthi, M., C. Ryser, L. Andrews et al. 2015. Heat sources within the Greenland Ice Sheet: dissipation, temperate paleo-firn and cryo-hydrologic warming. The Cryosphere. 9: 245-253. ",10.5194/tc-9-245-2015,2011-2013,-49.7142,69.4526,"Colgan, 2021",4.0,704,703,100,See data source,T,,Digitized from graphic,,Location from Geothermal Database
HansTausen_Dome,Hans Tausen Dome,North Greenland,Ice cap,H. Zekollari email,,"Zekollari, Harry, Huybrechts, Philippe, Noël, Brice, van de Berg, Willem Jan, van den Broeke, Michiel R.: Sensitivity, stability and future evolution of the world’s northernmost ice cap, Hans Tausen Iskappe (Greenland) , The Cryosphere 11(2), Copernicus GmbH, 805–825, 3 2017 ",10.5194/tc-11-805-2017,1995,-37.47,82.51,"Colgan, 2021",10.0,345,345,97,See data source,T,Only two data points - 10 m and 345 m. Drill date: 10.34194/bullggu.v172.6749 ,,,
HansTausen_Hare,Hans Tausen Hare,North Greenland,Ice cap,H. Zekollari email,,"Zekollari, Harry, Huybrechts, Philippe, Noël, Brice, van de Berg, Willem Jan, van den Broeke, Michiel R.: Sensitivity, stability and future evolution of the world’s northernmost ice cap, Hans Tausen Iskappe (Greenland) , The Cryosphere 11(2), Copernicus GmbH, 805–825, 3 2017 ",10.5194/tc-11-805-2017,1995,-36.67,82.84,"Colgan, 2021",9.0,288,289,97,See data source,T,Drill date: 10.34194/bullggu.v172.6749 ,,,
Isua_10,Isua,Central West Greenland,Ice sheet,"Colbeck, S. C., Gow, A. J.: The Margin of the Greenland Ice Sheet at Isua , Journal of Glaciology 24(90), Cambridge University Press (CUP), 155–165, 1979 ",,"Colebeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.75,65.2093,"Colgan, 2021",5.0,95,97,93,See data source,T,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores.""",Digitized from graphic,,
Isua_11,Isua,Central West Greenland,Ice sheet,"Colbeck, S. C., Gow, A. J.: The Margin of the Greenland Ice Sheet at Isua , Journal of Glaciology 24(90), Cambridge University Press (CUP), 155–165, 1979 ",,"Colebeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.751,65.2072,"Colgan, 2021",25.0,116,120,76,See data source,T,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores.""",Digitized from graphic,,
Isua_12,Isua,Central West Greenland,Ice sheet,"Colbeck, S. C., Gow, A. J.: The Margin of the Greenland Ice Sheet at Isua , Journal of Glaciology 24(90), Cambridge University Press (CUP), 155–165, 1979 ",,"Colebeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.753,65.2039,"Colgan, 2021",25.0,95,100,70,See data source,T,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores.""",Digitized from graphic,,
Isua_13,Isua,Central West Greenland,Ice sheet,"Colbeck, S. C., Gow, A. J.: The Margin of the Greenland Ice Sheet at Isua , Journal of Glaciology 24(90), Cambridge University Press (CUP), 155–165, 1979 ",,"Colebeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.7456,65.2069,"Colgan, 2021",6.0,247,265,91,See data source,T,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores.""",Digitized from graphic,,
Isua_14,Isua,Central West Greenland,Ice sheet,"Colbeck, S. C., Gow, A. J.: The Margin of the Greenland Ice Sheet at Isua , Journal of Glaciology 24(90), Cambridge University Press (CUP), 155–165, 1979 ",,"Colebeck, S. and A. Gow. 1979. The margin of the Greenland Ice Sheet at Isua. Journal of Glaciology. 24: 155-165. ",10.3189/S0022143000014714,1973,-49.7443,65.2058,"Colgan, 2021",6.0,237,299,77,See data source,T,"Measuremnet date 1972 or 1973. From Colbeck (1979), ""Five holes (see Fig. 3) were drilled in 1972 and 1973 for the purpose of making temperature measurements and taking ice cores.""",Digitized from graphic,,
Isunnguata_13km-10,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A941,2010,-50.02945,67.19158,T. Meierbachtol email,4.0,559,MEIERBACHTOL?,#VALUE!,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S2
Isunnguata_27km-11A,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A942,2011,-49.71952,67.19518000000001,T. Meierbachtol email,218.0,368,458,33,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S3-A
Isunnguata_27km-11B,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A943,2011,-49.71913,67.19527,T. Meierbachtol email,27.0,460,466,93,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S3-B
Isunnguata_27km-11C,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A944,2011,-49.718920000000004,67.19505,T. Meierbachtol email,20.0,459,460,95,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S3-C
Isunnguata_27km-12A,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A945,2012,-49.717929999999996,67.20421999999999,T. Meierbachtol email,11.0,690,696,98,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S4-A
Isunnguata_27km-12B,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A946,2012,-49.71778,67.2037,T. Meierbachtol email,18.0,690,688,98,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S4-B
Isunnguata_27km-12C,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A947,2012,-49.718109999999996,67.20382,T. Meierbachtol email,17.0,688,696,96,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S4-C
Isunnguata_33km_14N,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2015,-49.5697,67.18307,10.18739/A24746S04,18.0,628,641,95,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_14SA,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2015,-49.570009999999996,67.18108000000001,10.18739/A24746S04,72.0,672,674,89,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_14SB,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2015,-49.569720000000004,67.18104,10.18739/A24746S04,496.0,676,677,27,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_14W,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2015,-49.572379999999995,67.18209,10.18739/A24746S04,40.0,660,661,94,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_15CA,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2016,-49.5695,67.1821,10.18739/A24746S04,46.0,666,671,92,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_15CB,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2016,-49.56949,67.18200999999999,10.18739/A24746S04,370.0,670,675,44,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_15E,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2016,-49.564029999999995,67.18186999999999,10.18739/A24746S04,40.0,660,665,93,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_15N,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2016,-49.56691,67.18312,10.18739/A24746S04,15.0,635,640,97,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_33km_15S,Isunnguata Sermia,Central West Greenland,Ice sheet,"Joel Harper. 2017. Ice temperatures measured in a grid of boreholes, Western Greenland, 2014-2016. Arctic Data Center. doi:10.18739/A24746S04.",10.18739/A24746S04,"Hills, Benjamin H., Joel T. Harper, Neil F. Humphrey, and Toby W. Meierbachtol. ""Measured horizontal temperature gradients constrain heat transfer mechanisms in Greenland ice."" Geophysical Research Letters 44, no. 19 (2017): 9778-9785.",10.1002/2017GL074917,2016,-49.56666,67.18094,10.18739/A24746S04,52.0,672,677,92,10.18739/A24746S04,B,"See also McDowell, I. E., Humphrey, N. F., Harper, J. T., and Meierbachtol, T. W.: The cooling signature of basal crevasses in a hard-bedded region of the Greenland Ice Sheet, The Cryosphere, 15, 897–907, https://doi.org/10.5194/tc-15-897-2021, 2021.",,,
Isunnguata_46km-11A,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A948,2011,-49.2888,67.20143,T. Meierbachtol email,1.0,799,821,97,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S5-A
Isunnguata_46km-11B,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A949,2011,-49.2891,67.20134,T. Meierbachtol email,114.0,728,815,75,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S5-B
Isunnguata_M1-10,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A939,2010,-50.06427,67.16221,T. Meierbachtol email,10.0,90,99,81,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S1-A
Isunnguata_M2-10B,Isunnguata Sermia,Central West Greenland,Ice sheet,T. Meierbachtol email,,"Harrington, Joel A., Humphrey, Neil F., Harper, Joel T.: Temperature distribution and thermal anomalies along a flowline of the Greenland ice sheet , Annals of Glaciology 56(70), 98–104, 2015 ",10.3189/2015AoG70A940,2010,-50.06633,67.16704,T. Meierbachtol email,6.0,131,146,86,T. Meierbachtol email,T,See data in M1-10 folder,,,Harrington 2015 name: S1-B
Jakobshavn89A,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Iken, A., Echelmeyer, Κ., Harrison, W., Funk, M.: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part I. Measurements of temperature and water level in deep boreholes , Journal of Glaciology 39(131), Cambridge University Press (CUP), 15–25, 1993 ",10.3189/S0022143000015689,1989,-48.763,69.169,"Colgan, 2021",2.0,1535,1540,100,"Iken, 1993",T,,,,
Jakobshavn89B,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Iken, A., Echelmeyer, Κ., Harrison, W., Funk, M.: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part I. Measurements of temperature and water level in deep boreholes , Journal of Glaciology 39(131), Cambridge University Press (CUP), 15–25, 1993 ",10.3189/S0022143000015689,1989,-48.77,69.186,Estimated here.,2.0,1560,2520,62,"Iken, 1993",T,,,,
Jakobshavn89C,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Iken, A., Echelmeyer, Κ., Harrison, W., Funk, M.: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part I. Measurements of temperature and water level in deep boreholes , Journal of Glaciology 39(131), Cambridge University Press (CUP), 15–25, 1993 ",10.3189/S0022143000015689,1989,-48.777,69.203,"Colgan, 2021",2.0,700,1630,43,"Iken, 1993",T,,,,
Jakobshavn95D_I1,Jakobshavn Isbræ,Central West Greenland,Ice sheet,M. Lüthi email,,"Lüthi, Martin, Funk, Martin, Iken, Almut, Gogineni, Shivaprasad, Truffer, Martin: Mechanisms of fast flow in Jakobshavns Isbræ, West Greenland: Part III. Measurements of ice deformation, temperature and cross-borehole conductivity in boreholes to the bedrock, Journal of Glaciology 48(162), 369–385, 2002 ",10.3189/172756502781831322,1995,-48.6871,69.235,"Colgan, 2021",344.0,829,832,58,See science reference,T,,,,Location from Geothermal Database
